lag,Real,MLP,LSTM,GRU,TFKAN,PINN,EXP,ARIMA,PROPHET,MOE
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.9064636057236197,0.9229338028596897,0.9809907512514642,0.9125290890383757,0.8926755615837247,0.9707330876363245,0.971153822725799,0.9168507238833292,0.9711538461538461,0.9490096437244087
2,0.7668420563927952,0.813628046636237,0.9598472034526511,0.7703236599216503,0.725420212355664,0.8943361074376757,0.9423183154117962,0.7650055508403926,0.9423183612504,0.8866810154427167
3,0.6324431631988766,0.7372034341468218,0.9377985089294465,0.6347905488649307,0.588975026263315,0.7873870888361183,0.9135041470104944,0.6410722535763457,0.9135042142323699,0.8343976712276042
4,0.5585872011947355,0.7306429365976657,0.9153437837769032,0.5359030159618688,0.5712875876726329,0.668775618781526,0.8847219865096778,0.6180753721345219,0.8847220740424632,0.801011488306468
5,0.5511989794680221,0.7734018700885626,0.8924387067373096,0.47747823207989964,0.6413497928252353,0.5535177783805162,0.8559825028629301,0.693016987119562,0.8559826096233872,0.7752498373175031
6,0.5731357796555543,0.810062600514993,0.8687785149854905,0.4349523933805614,0.711798027376965,0.4506189306310113,0.8272963650569541,0.7900036387069945,0.8272964899178503,0.7513490472331114
7,0.5738384213744051,0.7845783462228947,0.8440688637896991,0.37619484147045057,0.6943593154893143,0.36527256758957494,0.7986742420464155,0.8183693039899175,0.79867438386856,0.7181898447584711
8,0.5337875041333348,0.6967305643579867,0.8181598697295319,0.3025436365910487,0.590453858020892,0.3006647287048393,0.7701268028169346,0.7403877259726241,0.770126960418224,0.6761763911480302
9,0.46624214250277524,0.5858490458579821,0.7913555886419914,0.2292718174505388,0.4577914523889609,0.25835309295660264,0.7416647163242593,0.5982930889245635,0.7416648885095504,0.6341046514666924
10,0.432649282891895,0.5115797339240381,0.7640712153674117,0.17681414324243,0.3842042911985462,0.2380606197922522,0.7132986515529287,0.48119510482788336,0.7132988370852466,0.6066092398868899
11,0.4489071486100479,0.49358671756230915,0.7365243499871661,0.1582049715696644,0.4030770071161807,0.23679879402360898,0.6850392774597718,0.45779960175482215,0.6850394750880204,0.5918464559266214
12,0.5014105937765099,0.5108587487102983,0.7085057254250435,0.16969913430709344,0.4722109601146247,0.24890955915664986,0.6568972630282457,0.5257222408349116,0.65689747146058,0.5765293794116144
13,0.5392436478251283,0.5183908319246188,0.6793613402016797,0.1668154500953495,0.5241460700348006,0.26691803553925403,0.6288832772162618,0.614782915907756,0.6288834951456328,0.5524457116318673
14,0.5354054847993441,0.471551335734546,0.6489703094414564,0.12973330214945716,0.4931967606178932,0.2830850338189769,0.6010079890061949,0.6406827706468028,0.6010082150858866,0.5196530154330452
15,0.47362652061404453,0.3783184154670745,0.6176078270687461,0.06860822216954696,0.39204723234100114,0.29107305822282115,0.5732820673570385,0.5680253251197273,0.5732823002240494,0.4744923179571474
16,0.4001918798060244,0.2729093763517798,0.5858485349611235,-0.004215824424661006,0.27801822513698615,0.28720967653569834,0.5457161812500858,0.43557601223692705,0.5457164195028286,0.4313442496940695
17,0.35590099125667735,0.19874382176289315,0.5537654042028515,-0.06036898371890787,0.2137319464500494,0.2704314986426618,0.5183209996454116,0.32578725731078423,0.5183212418649322,0.3999844683840644
18,0.35782242112720025,0.17689417057258786,0.5210530977677087,-0.09224188823371406,0.21835239932518238,0.2403377804323772,0.49110719152322757,0.30250600381045367,0.49110743625306824,0.3789363154345323
19,0.377258737790127,0.18369487174229057,0.4872217297606934,-0.11807992631730253,0.25564596280896323,0.19644514882808703,0.4640854258446902,0.36392697992879164,0.46408567160994396,0.3579617650408919
20,0.38304084942803246,0.17678212652571973,0.45200618200443515,-0.16419343064285716,0.26059828022796233,0.13924244385263437,0.4372663715889297,0.44545227412969596,0.43726661687826757,0.3319861572471698
