Real_TiB,MLP_TiB,LSTM_TiB,GRU_TiB,TFKAN_TiB,PINN_TiB,EXP_TiB,ARIMA_TiB,PROPHET_TiB,MOE_TiB
352.54584,352.22885,350.3329,352.90094,351.95596,350.77167,351.78336,351.8914,373.2078217210898,351.66928
355.04102,354.9152,349.98035,356.09277,355.16302,350.9646,351.94937,349.2526,373.2974074510166,353.46246
357.47327,357.37595,350.11765,358.90417,358.318,351.63113,352.11536,347.76007,373.38699318094353,355.80737
358.58133,358.29572,350.2324,360.0989,360.7719,352.266,352.28137,348.15952,373.4765789108704,357.55542
355.98865,356.52573,350.09204,359.2871,359.40686,352.66537,352.44736,350.51764,373.56616464079724,356.05002
354.11386,354.51205,350.04233,357.25906,357.46475,353.07693,352.61337,353.1313,373.6557503707241,354.80432
353.69397,352.6434,350.4403,356.30103,356.10965,353.7317,352.77936,354.1915,373.74533610065095,354.2645
355.13724,354.46674,351.31976,357.62283,357.89362,354.67255,352.94537,353.0202,373.8349218305778,355.43915
357.72018,356.80847,352.47516,360.7177,361.6879,355.65982,353.11136,350.62454,373.92450756050465,358.20908
361.21896,358.8615,353.45505,363.20264,364.58292,356.49084,353.27737,348.92508,374.0140932904315,361.2577
364.82343,359.76468,353.86386,363.36844,366.09003,356.79977,353.44336,349.3187,374.10367902035836,362.42023
363.05136,358.09265,353.3595,364.55002,364.41144,356.4171,353.60938,351.62897,374.1932647502852,360.16238
360.82916,356.01468,352.39517,360.2525,362.219,355.58994,353.77536,354.24078,374.28285048021206,357.98773
360.77692,355.5329,351.628,357.29028,360.82614,354.68063,353.94138,355.31433,374.3724362101389,357.22552
358.61304,356.5155,351.27655,357.79684,361.1533,354.05038,354.10736,354.16644,374.46202194006577,357.29614
359.95895,357.92523,351.5553,358.47528,362.20508,354.03885,354.27338,351.78235,374.5516076699926,358.19116
361.9288,360.25464,352.20367,362.09506,364.1105,354.46338,354.43936,350.07425,374.6411933999195,360.37762
362.74133,361.71735,352.8464,364.49353,365.0194,355.05402,354.60538,350.44495,374.7307791298463,361.3937
360.5786,360.5323,353.38577,365.06934,364.1591,355.66513,354.77136,352.73523,374.8203648597732,360.02448
359.4772,359.02896,354.14062,365.03568,363.15344,356.4389,354.93738,355.3449,374.90995058970003,359.03857
359.433,358.36658,355.26834,365.3092,363.22794,357.43005,355.10336,356.43573,374.99953631962694,359.2992
360.61093,359.54456,356.6411,367.10858,364.63773,358.49017,355.26938,355.31155,375.0891220495538,360.64758
363.18253,361.61954,358.0885,369.3077,367.62393,359.5186,355.43536,352.93976,375.17870777948065,363.3423
365.33112,363.4832,359.27686,371.58664,370.03296,360.40793,355.60138,351.22336,375.2682935094075,364.5332
