step,forecast_tb
1,3.779418147192308e-07
2,3.811321817925835e-07
3,3.8618386180104405e-07
4,3.8931199208682184e-07
5,3.8830709679480623e-07
6,3.8413508301586345e-07
7,3.801052604650189e-07
8,3.793113139374376e-07
9,3.823183085187077e-07
10,3.8682229427781397e-07
11,3.8947265156338346e-07
12,3.884192816292455e-07
13,3.8465056264212633e-07
14,3.8115857768223197e-07
15,3.806292483289823e-07
16,3.8343820866954493e-07
17,3.874452694092843e-07
18,3.8968231650903897e-07
19,3.8860644324903166e-07
20,3.852100204945588e-07
21,3.8219292545079483e-07
22,3.818815696184142e-07
23,3.844965942479376e-07
24,3.880568243294207e-07
25,3.8993756846039674e-07
26,3.888601333777749e-07
27,3.8580636715493825e-07
28,3.832078358492301e-07
29,3.830745605668925e-07
30,3.8550156442378844e-07
31,3.8866074092491733e-07
32,3.902351782357205e-07
33,3.891727645001374e-07
34,3.864334904543688e-07
35,3.842032070403638e-07
36,3.842140079080362e-07
37,3.864602608143239e-07
38,3.892601154118429e-07
39,3.905720081009687e-07
40,3.8953752347441267e-07
41,3.8708613229482057e-07
42,3.851792278456519e-07
43,3.8530522622483356e-07
44,3.873789692967079e-07
45,3.8985745905591325e-07
46,3.9094503589917183e-07
47,3.899483034973032e-07
48,3.877597825083118e-07
49,3.861363143516177e-07
50,3.863530834340957e-07
51,3.882632123294191e-07
52,3.9045478589413364e-07
53,3.913513725400069e-07
54,3.903996405608941e-07
55,3.884505846045227e-07
56,3.870750566419177e-07
57,3.8736202709845947e-07
58,3.891178324890195e-07
59,3.910536889642667e-07
60,3.917882739970675e-07
61,3.908866543381777e-07
62,3.891552522197291e-07
63,3.879961742716104e-07
64,3.8833611103013174e-07
65,3.899470679079895e-07
66,3.9165540639482023e-07
67,3.922531487961405e-07
68,3.9140499338583693e-07
69,3.898709951807012e-07
70,3.889004792690331e-07
71,3.892790217586104e-07
72,3.9075462026754674e-07
73,3.9226087856511095e-07
74,3.927435618343063e-07
75,3.9195078451675553e-07
76,3.905954541918772e-07
77,3.897888456009464e-07
78,3.9019410452595694e-07
79,3.9154371596523327e-07
80,3.928707974150905e-07
81,3.9325723524461093e-07
82,3.9252058616809695e-07
83,3.9132664324264757e-07
84,3.906621841701109e-07
85,3.9108438855007316e-07
86,3.923171610415207e-07
87,3.9348564886702695e-07
88,3.937920469123028e-07
89,3.93111345572137e-07
90,3.920628989140603e-07
91,3.9152142253287523e-07
92,3.9195261136080566e-07
93,3.930773904135225e-07
94,3.941057492148718e-07
95,3.943460271542581e-07
96,3.9372035952494066e-07
97,3.9280283584078643e-07
98,3.923674886292006e-07
99,3.928012420673084e-07
100,3.9382651192775304e-07
101,3.9473127624130715e-07
102,3.9491735399153515e-07
103,3.943452385412282e-07
104,3.935453076549713e-07
105,3.9320129791022377e-07
106,3.9363250345943203e-07
107,3.945663457082227e-07
108,3.9536229573619935e-07
109,3.95504347374472e-07
110,3.949838741813644e-07
111,3.9428937280386134e-07
112,3.940237433302236e-07
113,3.9444839288232027e-07
114,3.9529845924140145e-07
115,3.9599878401267006e-07
116,3.9610546265901145e-07
117,3.956344093374473e-07
118,3.950342646930924e-07
119,3.948356877418767e-07
120,3.9525070185302533e-07
121,3.9602419860600745e-07
122,3.9664064694747686e-07
123,3.9671928358078933e-07
124,3.962952112692302e-07
125,3.9577936566253047e-07
126,3.9563795829699486e-07
127,3.9604103441181925e-07
128,3.967447162233989e-07
129,3.9728773601015166e-07
130,3.9734451492888433e-07
131,3.9696484718647275e-07
132,3.965241843518548e-07
133,3.9643134251049274e-07
134,3.9682082421985217e-07
135,3.974609954737225e-07
136,3.979398616897203e-07
137,3.9797997508304145e-07
138,3.9764206218175423e-07
139,3.972683360589555e-07
140,3.97216585693985e-07
141,3.9759135042965553e-07
142,3.9817387249398754e-07
143,3.9859680467819714e-07
144,3.986245885458021e-07
145,3.983257593263633e-07
146,3.980115257359774e-07
147,3.9799438950793804e-07
148,3.9835375236636125e-07
149,3.988840554469611e-07
150,3.9925832512584866e-07
151,3.99277378573554e-07
152,3.990149817512538e-07
153,3.9875353330576216e-07
154,3.987654114183932e-07
155,3.9910904306598445e-07
156,3.99592141524222e-07
157,3.999241702439214e-07
158,3.999374599873992e-07
159,3.997088965449184e-07
160,3.994942010158053e-07
161,3.9953026487656087e-07
162,3.9985812172317756e-07
163,4.002986319228716e-07
164,4.0059408049565053e-07
165,4.006040322253369e-07
166,4.0040678031015423e-07
167,4.0023342257791925e-07
168,4.0028952006762404e-07
169,4.0060178510493874e-07
170,4.010039450132431e-07
171,4.0126779458545883e-07
172,4.0127637268107084e-07
173,4.0110800623187563e-07
174,4.009711338698434e-07
175,4.010437050993795e-07
176,4.0134073798919715e-07
177,4.0170842789443357e-07
178,4.019450534289233e-07
179,4.0195383036132297e-07
180,4.0181203251821993e-07
181,4.017073050003069e-07
182,4.0179330752233905e-07
183,4.0207560268831776e-07
184,4.024123665155402e-07
185,4.0262560326195143e-07
186,4.0263581988247655e-07
187,4.025183920870723e-07
188,4.0244193356177e-07
189,4.0253877609101206e-07
190,4.0280692771762565e-07
191,4.0311599452305507e-07
