p,d,q,aic,bic
0,1,0,-288.49778457956165,-284.3136356886242
0,1,1,-433.7636899947987,-425.39539221292375
0,1,2,-480.7648277660602,-468.21238109324776
0,1,3,-490.3543831328533,-473.61778756910337
0,1,4,-498.5245482681979,-477.6038038135105
0,1,5,-524.9014070530543,-499.7965137074294
1,1,0,-323.8187415218938,-315.45044374001884
1,1,1,-482.4290547939961,-469.87660812118366
1,1,2,-482.5256664493894,-465.7890708856395
1,1,3,-488.89334417120995,-467.97259971652255
1,1,4,-488.5604966944555,-463.45560334883055
1,1,5,-527.6219289524515,-498.3328867158891
2,1,0,-324.46628327388225,-311.9138366010698
2,1,1,-486.5569023581814,-469.8203067944315
2,1,2,-480.0072220985897,-459.0864776439023
2,1,3,-631.3688345592138,-606.263941213589
2,1,4,-637.7246474148141,-608.4356051782516
2,1,5,-608.8620187390516,-575.3888276115517
3,1,0,-342.88296347390974,-326.1463679101598
3,1,1,-538.3792834588907,-517.4585390042032
3,1,2,-562.9569334917867,-537.8520401461618
3,1,3,-630.1515453439972,-600.8625031074348
3,1,4,-628.8244131005307,-595.3512219730309
3,1,5,-626.6992376595238,-589.0418976410864
4,1,0,-398.2137873653218,-377.2930429106344
4,1,1,-572.0757621732882,-546.9708688276634
4,1,2,-536.8544984615821,-507.5654562250197
4,1,3,-640.1591682714236,-606.6859771439238
4,1,4,-626.8569222236251,-589.1995822051878
4,1,5,-629.4731410108966,-587.6316521015218
5,1,0,-486.99017811998766,-461.88528477436273
5,1,1,-574.1955782437276,-544.9065360071652
5,1,2,-568.1052608048351,-534.6320696773353
5,1,3,-627.6647774177798,-590.0074373993424
5,1,4,-626.8033545643133,-584.9618656549385
5,1,5,-629.0023021772549,-582.9766643769426
