step,forecast_tib
1,370.46761207434884
2,370.63361215633836
3,370.7996122383278
4,370.9656123203173
5,371.13161240230676
6,371.2976124842963
7,371.46361256628575
8,371.6296126482752
9,371.79561273026474
10,371.9616128122542
11,372.12761289424367
12,372.29361297623313
13,372.45961305822266
14,372.6256131402121
15,372.7916132222016
16,372.95761330419106
17,373.1236133861806
18,373.28961346817005
19,373.4556135501595
20,373.62161363214904
21,373.7876137141385
22,373.95361379612797
23,374.11961387811743
24,374.28561396010696
25,374.4516140420964
26,374.6176141240859
27,374.7836142060754
28,374.9496142880649
29,375.11561437005435
30,375.2816144520438
31,375.44761453403333
32,375.6136146160228
33,375.77961469801227
34,375.9456147800018
35,376.11161486199126
36,376.2776149439807
37,376.4436150259702
38,376.6096151079597
39,376.7756151899492
40,376.94161527193864
41,377.10761535392817
42,377.27361543591763
43,377.4396155179071
44,377.60561559989657
45,377.7716156818861
46,377.93761576387556
47,378.103615845865
48,378.2696159278545
49,378.435616009844
50,378.6016160918335
51,378.76761617382294
52,378.93361625581247
53,379.09961633780193
54,379.2656164197914
55,379.43161650178087
56,379.5976165837704
57,379.76361666575986
58,379.9296167477493
59,380.09561682973884
60,380.2616169117283
61,380.4276169937178
62,380.59361707570724
63,380.75961715769677
64,380.92561723968623
65,381.0916173216757
66,381.2576174036652
67,381.4236174856547
68,381.58961756764415
69,381.7556176496336
70,381.92161773162314
71,382.0876178136126
72,382.2536178956021
73,382.41961797759154
74,382.58561805958107
75,382.75161814157053
76,382.91761822356
77,383.0836183055495
78,383.249618387539
79,383.41561846952845
80,383.5816185515179
81,383.74761863350744
82,383.9136187154969
83,384.0796187974864
84,384.2456188794759
85,384.41161896146536
86,384.57761904345483
87,384.7436191254443
88,384.9096192074338
89,385.0756192894233
90,385.24161937141275
91,385.4076194534023
92,385.57361953539174
93,385.7396196173812
94,385.9056196993707
95,386.0716197813602
96,386.23761986334966
97,386.40361994533913
98,386.5696200273286
99,386.7356201093181
100,386.9016201913076
101,387.06762027329705
102,387.2336203552866
103,387.39962043727604
104,387.5656205192655
105,387.731620601255
106,387.89762068324444
107,388.06362076523396
108,388.22962084722343
109,388.3956209292129
110,388.5616210112024
111,388.7276210931919
112,388.89362117518135
113,389.0596212571708
114,389.2256213391603
115,389.3916214211498
116,389.5576215031393
117,389.72362158512874
118,389.88962166711826
119,390.05562174910773
120,390.2216218310972
121,390.38762191308666
122,390.5536219950761
123,390.71962207706565
124,390.8856221590551
125,391.0516222410446
126,391.2176223230341
127,391.3836224050236
128,391.54962248701304
129,391.7156225690025
130,391.88162265099197
131,392.0476227329815
132,392.21362281497096
133,392.3796228969604
134,392.54562297894995
135,392.7116230609394
136,392.8776231429289
137,393.04362322491835
138,393.2096233069078
139,393.37562338889734
140,393.5416234708868
141,393.70762355287627
142,393.8736236348658
143,394.03962371685526
144,394.2056237988447
145,394.3716238808342
146,394.53762396282366
147,394.7036240448132
148,394.86962412680265
149,395.0356242087921
150,395.20162429078164
151,395.3676243727711
152,395.53362445476057
153,395.69962453675004
154,395.8656246187395
155,396.031624700729
156,396.1976247827185
157,396.36362486470796
158,396.5296249466975
159,396.69562502868695
160,396.8616251106764
161,397.0276251926659
162,397.19362527465535
163,397.35962535664487
164,397.52562543863434
165,397.6916255206238
166,397.8576256026133
167,398.0236256846028
168,398.18962576659226
169,398.3556258485817
170,398.5216259305712
171,398.6876260125607
172,398.8536260945502
173,399.01962617653965
174,399.18562625852917
175,399.35162634051864
176,399.5176264225081
177,399.68362650449757
178,399.84962658648703
179,400.01562666847656
180,400.181626750466
181,400.3476268324555
182,400.513626914445
183,400.6796269964345
184,400.84562707842395
185,401.0116271604134
186,401.1776272424029
187,401.3436273243924
188,401.50962740638187
189,401.67562748837133
190,401.84162757036086
191,402.0076276523503
192,402.1736277343398
193,402.33962781632925
194,402.5056278983187
195,402.67162798030824
196,402.8376280622977
197,403.0036281442872
198,403.1696282262767
199,403.33562830826617
200,403.50162839025563
201,403.6676284722451
202,403.83362855423456
203,403.9996286362241
204,404.16562871821355
205,404.331628800203
206,404.49762888219254
207,404.663628964182
208,404.8296290461715
209,404.99562912816094
210,405.1616292101504
211,405.32762929213993
212,405.4936293741294
213,405.65962945611886
214,405.8256295381084
215,405.99162962009785
216,406.1576297020873
217,406.3236297840768
218,406.48962986606625
219,406.6556299480558
220,406.82163003004524
221,406.9876301120347
222,407.15363019402423
223,407.3196302760137
224,407.48563035800316
225,407.65163043999263
226,407.8176305219821
227,407.9836306039716
228,408.1496306859611
229,408.31563076795055
230,408.4816308499401
231,408.64763093192954
232,408.813631013919
233,408.9796310959085
234,409.14563117789794
235,409.31163125988746
236,409.47763134187693
237,409.6436314238664
238,409.8096315058559
239,409.9756315878454
240,410.14163166983485
241,410.3076317518243
242,410.4736318338138
243,410.6396319158033
244,410.8056319977928
245,410.97163207978224
246,411.13763216177176
247,411.30363224376123
248,411.4696323257507
249,411.63563240774016
250,411.8016324897296
251,411.96763257171915
252,412.1336326537086
253,412.2996327356981
254,412.4656328176876
255,412.6316328996771
256,412.79763298166654
257,412.963633063656
258,413.12963314564547
259,413.295633227635
260,413.46163330962446
261,413.6276333916139
262,413.79363347360345
263,413.9596335555929
264,414.1256336375824
265,414.29163371957185
266,414.4576338015613
267,414.62363388355084
268,414.7896339655403
269,414.95563404752977
270,415.1216341295193
271,415.28763421150876
272,415.4536342934982
273,415.6196343754877
274,415.78563445747716
275,415.9516345394667
276,416.11763462145615
277,416.2836347034456
278,416.44963478543514
279,416.6156348674246
280,416.78163494941407
281,416.94763503140354
282,417.113635113393
283,417.2796351953825
284,417.445635277372
285,417.61163535936146
286,417.777635441351
287,417.94363552334045
288,418.1096356053299
289,418.2756356873194
290,418.44163576930885
291,418.60763585129837
292,418.77363593328784
293,418.9396360152773
294,419.1056360972668
295,419.2716361792563
296,419.43763626124576
297,419.6036363432352
298,419.7696364252247
299,419.9356365072142
300,420.1016365892037
301,420.26763667119315
302,420.43363675318267
303,420.59963683517213
304,420.7656369171616
305,420.93163699915107
306,421.09763708114053
307,421.26363716313006
308,421.4296372451195
309,421.595637327109
310,421.7616374090985
311,421.927637491088
312,422.09363757307744
313,422.2596376550669
314,422.4256377370564
315,422.5916378190459
316,422.75763790103537
317,422.92363798302483
318,423.08963806501436
319,423.2556381470038
320,423.4216382289933
321,423.58763831098275
322,423.7536383929722
323,423.91963847496174
324,424.0856385569512
325,424.2516386389407
326,424.4176387209302
327,424.58363880291967
328,424.74963888490913
329,424.9156389668986
330,425.08163904888806
331,425.2476391308776
332,425.41363921286705
333,425.5796392948565
334,425.74563937684604
335,425.9116394588355
336,426.077639540825
337,426.24363962281444
338,426.4096397048039
339,426.57563978679343
340,426.7416398687829
341,426.90763995077236
342,427.0736400327619
343,427.23964011475135
344,427.4056401967408
345,427.5716402787303
346,427.73764036071975
347,427.9036404427093
348,428.06964052469874
349,428.2356406066882
350,428.40164068867773
351,428.5676407706672
352,428.73364085265666
353,428.89964093464613
354,429.0656410166356
355,429.2316410986251
356,429.3976411806146
357,429.56364126260405
358,429.7296413445936
359,429.89564142658304
360,430.0616415085725
