forecast_step,MoE_TiB
1,370.0240783691406
2,369.4831237792969
3,369.2144470214844
4,369.2386779785156
5,369.5586242675781
6,369.4806823730469
7,369.2989196777344
8,369.3511962890625
9,369.56866455078125
10,370.25970458984375
11,370.92596435546875
12,370.9920654296875
13,370.8508605957031
14,370.3670959472656
15,369.9402160644531
16,370.11248779296875
17,370.96600341796875
18,371.6230773925781
19,371.7579650878906
20,371.7793273925781
21,371.7123718261719
22,371.8079528808594
23,371.9497985839844
24,372.171142578125
25,372.35528564453125
26,372.4703369140625
27,372.5562744140625
28,372.6348571777344
29,372.7173767089844
30,372.81353759765625
31,372.93231201171875
32,373.0439758300781
33,373.1390075683594
34,373.23175048828125
35,373.321533203125
36,373.4095458984375
37,373.5001220703125
38,373.59942626953125
39,373.69744873046875
40,373.79071044921875
41,373.8843078613281
42,373.9743347167969
43,374.0604248046875
44,374.14654541015625
45,374.23773193359375
46,374.33026123046875
47,374.4219970703125
48,374.5146484375
49,374.6055603027344
50,374.6929931640625
51,374.7799072265625
52,374.8690490722656
53,374.9595031738281
54,375.050048828125
55,375.1410827636719
56,375.2315979003906
57,375.32061767578125
58,375.40863037109375
59,375.4976806640625
60,375.58740234375
61,375.6773986816406
62,375.7676086425781
63,375.8576354980469
64,375.9469299316406
65,376.03582763671875
66,376.1250915527344
67,376.2147521972656
68,376.3045349121094
69,376.3943176269531
70,376.48406982421875
71,376.57342529296875
72,376.6627502441406
73,376.75213623046875
74,376.84173583984375
75,376.93145751953125
76,377.0211181640625
77,377.1107177734375
78,377.2001953125
79,377.2896423339844
80,377.3791198730469
81,377.4687194824219
82,377.5583190917969
83,377.6479187011719
84,377.7374572753906
85,377.8270568847656
86,377.9165954589844
87,378.006103515625
88,378.0956726074219
89,378.1852722167969
90,378.27490234375
91,378.36444091796875
92,378.4540100097656
93,378.5435485839844
94,378.63311767578125
95,378.72271728515625
96,378.81231689453125
97,378.90191650390625
98,378.991455078125
99,379.0810546875
100,379.1706237792969
101,379.26025390625
102,379.34979248046875
103,379.43939208984375
104,379.5289611816406
105,379.6185607910156
106,379.7081298828125
107,379.7976989746094
108,379.8873291015625
109,379.97686767578125
110,380.06646728515625
111,380.1560363769531
112,380.2456359863281
113,380.3352355957031
114,380.4248046875
115,380.514404296875
116,380.6039733886719
117,380.69354248046875
118,380.7831115722656
119,380.8727722167969
120,380.96234130859375
121,381.05194091796875
122,381.1414794921875
123,381.2310791015625
124,381.3206481933594
125,381.4102478027344
126,381.4998474121094
127,381.5894470214844
128,381.67901611328125
129,381.76861572265625
130,381.8581848144531
131,381.94775390625
132,382.037353515625
133,382.1269226074219
134,382.2165222167969
135,382.30609130859375
136,382.39569091796875
137,382.4852600097656
138,382.5748596191406
139,382.6644287109375
140,382.7540283203125
141,382.8436279296875
142,382.9331970214844
143,383.0227966308594
144,383.11236572265625
145,383.20196533203125
146,383.2915344238281
147,383.3811340332031
148,383.470703125
149,383.560302734375
150,383.6498718261719
151,383.7394714355469
152,383.8290710449219
153,383.91864013671875
154,384.00823974609375
155,384.0978088378906
156,384.1874084472656
157,384.2769775390625
158,384.3665771484375
159,384.4561462402344
160,384.5457458496094
161,384.63531494140625
162,384.72491455078125
163,384.81451416015625
164,384.9040832519531
165,384.9936828613281
166,385.083251953125
167,385.1728515625
168,385.2624206542969
169,385.3520202636719
170,385.44158935546875
171,385.53118896484375
172,385.6207580566406
173,385.7103576660156
174,385.7999572753906
175,385.8895263671875
176,385.9791259765625
177,386.0686950683594
178,386.1582946777344
179,386.24786376953125
180,386.33746337890625
181,386.4270324707031
182,386.5166320800781
183,386.606201171875
184,386.69580078125
185,386.785400390625
186,386.8749694824219
187,386.9645690917969
188,387.05413818359375
189,387.14373779296875
190,387.2333068847656
191,387.3229064941406
192,387.4124755859375
193,387.5020751953125
194,387.5916442871094
195,387.6812438964844
196,387.7708435058594
197,387.86041259765625
198,387.95001220703125
199,388.0395812988281
200,388.1291809082031
201,388.21875
202,388.308349609375
203,388.3979187011719
204,388.4875183105469
205,388.57708740234375
206,388.66668701171875
207,388.75628662109375
208,388.8458557128906
209,388.9354553222656
210,389.0250244140625
211,389.1146240234375
212,389.2041931152344
213,389.2937927246094
214,389.38336181640625
215,389.47296142578125
216,389.5625305175781
217,389.6521301269531
218,389.7417297363281
219,389.831298828125
220,389.9208984375
221,390.0104675292969
222,390.1000671386719
223,390.18963623046875
224,390.27923583984375
225,390.3688049316406
226,390.4584045410156
227,390.5479736328125
228,390.6375732421875
229,390.7271728515625
230,390.8167419433594
231,390.9063415527344
232,390.99591064453125
233,391.08551025390625
234,391.1750793457031
235,391.2646789550781
236,391.354248046875
237,391.44384765625
238,391.5334167480469
239,391.6230163574219
240,391.7126159667969
241,391.80218505859375
242,391.89178466796875
243,391.9813537597656
244,392.0709533691406
245,392.1605224609375
246,392.2501220703125
247,392.3396911621094
248,392.4292907714844
249,392.51885986328125
250,392.60845947265625
251,392.69805908203125
252,392.7876281738281
253,392.8772277832031
254,392.966796875
255,393.056396484375
256,393.1459655761719
257,393.2355651855469
258,393.32513427734375
259,393.41473388671875
260,393.5043029785156
261,393.5939025878906
262,393.6835021972656
263,393.7730712890625
264,393.8626708984375
265,393.9522399902344
266,394.0418395996094
267,394.13140869140625
268,394.22100830078125
269,394.3105773925781
270,394.4001770019531
271,394.48974609375
272,394.579345703125
273,394.6689453125
274,394.7585144042969
275,394.8481140136719
276,394.93768310546875
277,395.02728271484375
278,395.1168518066406
279,395.2064514160156
280,395.2960205078125
281,395.3856201171875
282,395.4751892089844
283,395.5647888183594
284,395.6543884277344
285,395.74395751953125
286,395.83355712890625
287,395.9231262207031
288,396.0127258300781
289,396.102294921875
290,396.19189453125
291,396.2814636230469
292,396.3710632324219
293,396.46063232421875
294,396.55023193359375
295,396.63983154296875
296,396.7294006347656
297,396.8190002441406
298,396.9085693359375
299,396.9981689453125
300,397.0877380371094
301,397.1773376464844
302,397.26690673828125
303,397.35650634765625
304,397.4460754394531
305,397.5356750488281
306,397.6252746582031
307,397.71484375
308,397.804443359375
309,397.8940124511719
310,397.9836120605469
311,398.07318115234375
312,398.16278076171875
313,398.2523498535156
314,398.3419494628906
315,398.4315185546875
316,398.5211181640625
317,398.6107177734375
318,398.7002868652344
319,398.7898864746094
320,398.87945556640625
321,398.96905517578125
322,399.0586242675781
323,399.1482238769531
324,399.23779296875
325,399.327392578125
326,399.4169616699219
327,399.5065612792969
328,399.5961608886719
329,399.68572998046875
330,399.77532958984375
331,399.8648986816406
332,399.9544982910156
333,400.0440673828125
334,400.1336669921875
335,400.2232360839844
336,400.3128356933594
337,400.40240478515625
338,400.49200439453125
339,400.5815734863281
340,400.6711730957031
341,400.7607727050781
342,400.850341796875
343,400.93994140625
344,401.0295104980469
345,401.1191101074219
346,401.20867919921875
347,401.29827880859375
348,401.3878479003906
349,401.4774475097656
350,401.5670166015625
351,401.6566162109375
352,401.7462158203125
353,401.8357849121094
354,401.9253845214844
355,402.01495361328125
356,402.10455322265625
357,402.1941223144531
358,402.2837219238281
359,402.373291015625
360,402.462890625
