forecast_step,MLP_TiB,LSTM_TiB,GRU_TiB,PINN_TiB,TFKAN_TiB,ETS_TiB,ARIMA_TiB,PROPHET_TiB,MOE_TiB
1,369.35458383226415,367.6383052792551,370.43353548908254,369.1514720644953,3.7782464291650414e-07,370.46761207434884,369.08380343674884,359.45826880276184,370.0240783691406
2,365.88652619981787,364.27842340135595,367.02752098703405,366.8673416104319,3.730019141567385e-07,370.63361215633836,372.1993962818198,359.1520397042819,369.4831237792969
3,365.3063150372507,361.26759442949316,360.2160778965952,364.15792760515234,3.676476934536135e-07,370.7996122383278,377.13267754008206,359.1159555627601,369.2144470214844
4,364.7256337132456,359.28561410570165,356.71570214891454,361.9602347340586,3.62562905367676e-07,370.9656123203173,380.18749227228693,359.2570653874148,369.2386779785156
5,365.91022405290624,358.55062780046484,357.2649813618662,360.89559850358984,3.6565839364892597e-07,371.13161240230676,379.206149213678,359.3071364354937,369.5586242675781
6,367.500547739506,358.8585434880259,359.1422644581797,361.12827787065527,3.69764661227051e-07,371.2976124842963,375.13191700767914,359.0554563333304,369.4806823730469
7,368.5647371735575,359.82793244981787,362.5374413456919,362.15384111070654,3.711631231411135e-07,371.46361256628575,371.19654342287004,358.5553760655932,369.2989196777344
8,366.7684722867014,360.98788556718847,364.6719742741587,363.3072596516611,3.70801854586426e-07,371.6296126482752,370.4212050170289,358.0974667482551,369.3511962890625
9,364.8685494389536,362.0449744191172,363.7448922123911,364.43643817567846,3.688167110317385e-07,371.79561273026474,373.3577231628005,357.9588135204682,369.56866455078125
10,365.40896234178564,362.862413975239,360.76254186296484,365.48474845552465,3.6749238388330097e-07,371.9616128122542,377.7561467556777,358.15907017255694,370.25970458984375
11,366.1115346875193,363.3858381237986,358.7128506627085,366.45196303987524,3.68122282320801e-07,372.12761289424367,380.34438629236666,358.45923420805366,370.92596435546875
12,367.159804436207,363.57978400850317,358.3819638218882,367.25544438028356,3.692767207973635e-07,372.29361297623313,379.31570471606005,358.6123406922981,370.9920654296875
13,368.27863797807714,363.5218034710886,360.1414233174326,367.67220863962194,3.71106096773926e-07,372.45961305822266,375.6353150802015,358.62831689558703,370.8508605957031
14,367.7308517422678,363.38498410844824,363.29592189455053,367.77882966661474,3.700554629848635e-07,372.6256131402121,372.22517351780465,358.78885420662004,370.3670959472656
15,366.0301886525156,363.3031426396372,366.31434640550634,367.70305452013037,3.678166856411135e-07,372.7916132222016,371.7082503212718,359.3779299898012,369.9402160644531
16,363.38182267808935,363.42639217042944,366.11821231508276,367.59685787820837,3.65527473727051e-07,372.95761330419106,374.4513756538525,360.36848989289473,370.11248779296875
17,363.4377518620493,363.72169837617895,365.4731675114634,367.56808266305944,3.644875157192385e-07,373.1236133861806,378.3645209075042,361.36402730231674,370.96600341796875
18,364.26294097566625,364.21396550798437,363.30948743486425,367.67562517786047,3.66860915133301e-07,373.28961346817005,380.54913721585837,361.87226273659235,371.6230773925781
19,367.0606935944559,364.8584824528696,361.7941723790171,367.92777118349096,3.702705997036135e-07,373.4556135501595,379.4984797353825,361.6866454442318,371.7579650878906
20,369.37353548669836,365.50109014177343,362.1436596837046,368.29920825624487,3.731546001918947e-07,373.62161363214904,376.18166063921757,361.04803370703803,371.7793273925781
21,369.76534006261846,366.04607209825537,364.80079183244726,368.7572668519022,3.723224102504885e-07,373.7876137141385,373.2352787605418,360.4498176190768,371.7123718261719
22,369.99598944449446,366.5130725827219,367.6771441426279,369.26861688756964,3.717294200161135e-07,373.95361379612797,372.93122033048263,360.25966451247314,371.8079528808594
23,368.59172317647955,366.98042258882543,369.0074656929972,369.7894615855219,3.68425475680176e-07,374.11961387811743,375.4849553202516,360.4784538501927,371.9497985839844
24,368.53431031370184,367.83337912225744,368.0548516240122,370.3271489467623,3.665975293911135e-07,374.28561396010696,378.9617425091999,360.81620202068956,372.171142578125
25,369.667891117573,368.69490799570104,365.4641576733591,370.8017244067194,3.685484825161135e-07,374.4516140420964,380.7984066996062,360.977561794134,372.35528564453125
26,371.746246668339,369.57840368413946,363.5023089375498,371.19700488710424,3.72589200289551e-07,374.6176141240859,379.7462240017333,360.8838720319163,372.4703369140625
27,373.73596224451086,370.47671935224554,363.43975791597387,371.51396772527715,3.760103101528322e-07,374.7836142060754,376.76403042474436,360.6548908200287,372.5562744140625
28,374.4388824429514,371.3715122666361,365.4744540181162,371.7711009707453,3.7746226120263695e-07,374.9496142880649,374.22640219651373,360.419333924423,372.6348571777344
29,373.4095455136301,372.2246707406046,368.97384986543676,371.99864265584966,3.764787527797854e-07,375.11561437005435,374.09625055360596,360.17442917046395,372.7173767089844
30,371.7689048972132,373.00055369997045,372.72039112710974,372.2300330128672,3.736685137661135e-07,375.2816144520438,376.4663715076059,359.8340000367104,372.81353759765625
31,371.77321979665777,373.7078946557047,373.25595221185705,372.49320873880407,3.715391016567385e-07,375.44761453403333,379.5515048094896,359.3897519452121,372.93231201171875
32,373.10849008226415,374.3869834866526,372.29076060915014,372.80305514001867,3.7237105429345727e-07,375.6136146160228,381.0890412458208,358.9873066466113,373.0439758300781
33,375.19516477251074,375.0793353047373,370.665311786175,373.1592288937571,3.74603860445801e-07,375.77961469801227,380.0515278321654,358.8121146513913,373.1390075683594
34,377.04133567476293,375.8102408375742,368.65313002729437,373.55055555963537,3.7765991855126977e-07,375.9456147800018,377.37645552184455,358.89116076806783,373.23175048828125
35,377.87012443208715,376.5882612195017,368.28661355638525,373.96025023126623,3.7852308487207055e-07,376.11161486199126,375.1984443753553,359.02314598519064,373.321533203125
36,376.8126445736887,377.4103213276865,370.2608301367762,374.37122068071386,3.781746437709963e-07,376.2776149439807,375.20899209769163,358.9349149504541,373.4095458984375
37,375.1620455708506,378.26663741731664,374.3065596547129,374.76971397066137,3.764253731411135e-07,376.4436150259702,377.4025984514882,358.5335591357498,373.5001220703125
