ds,y
2024-01-01,307236.68671777303
2024-01-02,304576.332946289
2024-01-03,304193.134438477
2024-01-04,306339.388213379
2024-01-05,309699.399881348
2024-01-06,311748.79414502
2024-01-07,312910.830564941
2024-01-08,308503.32118505903
2024-01-09,306162.106013672
2024-01-10,305038.46434375
2024-01-11,306596.43709375
2024-01-12,310824.418652344
2024-01-13,312315.303311523
2024-01-14,314273.23737158196
2024-01-15,310700.332452637
2024-01-16,307619.867786621
2024-01-17,306399.337901855
2024-01-18,308674.58193457
2024-01-19,312101.778776367
2024-01-20,313614.484513672
2024-01-21,314339.298922852
2024-01-22,309628.001169922
2024-01-23,306911.789644043
2024-01-24,306462.32954150403
2024-01-25,309158.017101074
2024-01-26,312599.171179199
2024-01-27,313802.549794434
2024-01-28,314966.85471728496
2024-01-29,309790.042509277
2024-01-30,307603.67067041
2024-01-31,307041.210203125
2024-02-01,308891.442388672
2024-02-02,312486.612783203
2024-02-03,313394.417089355
2024-02-04,313481.984286621
2024-02-05,308575.224287598
2024-02-06,305760.67111572303
2024-02-07,305286.59465087904
2024-02-08,307451.095840332
2024-02-09,312712.276461914
2024-02-10,312532.708064453
2024-02-11,315308.71051220695
2024-02-12,311389.20416455105
2024-02-13,308314.22743994097
2024-02-14,310245.67217480496
2024-02-15,311490.369861816
2024-02-16,314238.77535888704
2024-02-17,315832.952302734
2024-02-18,316082.393060547
2024-02-19,315684.901006348
2024-02-20,315280.796994629
2024-02-21,315165.91550439503
2024-02-22,320173.46692724596
2024-02-23,325631.431325684
2024-02-24,325028.35314990196
2024-02-25,322915.952445313
2024-02-26,316867.488885254
2024-02-27,312045.255377441
2024-02-28,310027.970630859
2024-02-29,311758.678333984
2024-03-01,315696.41772900405
2024-03-02,317299.834353027
2024-03-03,316505.365756348
2024-03-04,310348.974989746
2024-03-05,306887.81400097697
2024-03-06,306487.587133789
2024-03-07,309211.95926513703
2024-03-08,311418.122451172
2024-03-09,312824.700193848
2024-03-10,313994.400106934
2024-03-11,310236.297306152
2024-03-12,308308.965147461
2024-03-13,309728.446055664
2024-03-14,310053.33942724596
2024-03-15,313660.92930127
2024-03-16,315980.111564453
2024-03-17,316731.92386377003
2024-03-18,312188.497074219
2024-03-19,308949.081237305
2024-03-20,307942.494347168
2024-03-21,309660.725958984
2024-03-22,312734.164953125
2024-03-23,314251.119864746
2024-03-24,315024.401662598
2024-03-25,310862.872597168
2024-03-26,307699.76946826203
2024-03-27,307067.55258398404
2024-03-28,309359.070822754
2024-03-29,312657.948427734
2024-03-30,314508.613563965
2024-03-31,315493.172993652
2024-04-01,311138.32303906296
2024-04-02,308646.91239550797
2024-04-03,307837.702155762
2024-04-04,309459.735104492
2024-04-05,314614.638541992
2024-04-06,315472.677795898
2024-04-07,315539.544755371
2024-04-08,311826.044003906
2024-04-09,308934.94610790996
2024-04-10,305505.410536621
2024-04-11,306619.298399414
2024-04-12,308332.98459228495
2024-04-13,308570.365493652
2024-04-14,309950.35507959
2024-04-15,307057.76066894503
2024-04-16,305204.781001953
2024-04-17,304144.304619141
2024-04-18,305643.12019287096
2024-04-19,307651.98711035197
2024-04-20,307831.097557617
2024-04-21,308762.82984082
2024-04-22,305717.537740234
2024-04-23,304268.80992236297
2024-04-24,309612.40412597696
2024-04-25,315163.94307666
2024-04-26,322353.919413574
2024-04-27,323885.55965722696
2024-04-28,324891.284226563
2024-04-29,317192.81308837904
2024-04-30,310694.127229492
2024-05-01,307106.536138672
2024-05-02,307851.449368652
2024-05-03,310935.825554199
2024-05-04,314534.57271826203
2024-05-05,315714.696541016
2024-05-06,311941.296575684
2024-05-07,309834.167112305
2024-05-08,308455.717098145
2024-05-09,311059.996439941
2024-05-10,315497.405828613
2024-05-11,317510.33366748
2024-05-12,318894.261441895
2024-05-13,311944.22544970695
2024-05-14,308051.917817383
2024-05-15,307913.85325293
2024-05-16,308222.761947754
2024-05-17,312029.41053125
2024-05-18,313726.827549805
2024-05-19,315020.81923730497
2024-05-20,312021.05282666
2024-05-21,310754.101742188
2024-05-22,310134.750364258
2024-05-23,310583.169638184
2024-05-24,312029.00634326204
2024-05-25,313011.66548291
2024-05-26,314004.728315918
2024-05-27,310968.208119141
2024-05-28,309917.328708984
2024-05-29,309125.191283203
2024-05-30,308985.705723633
2024-05-31,311867.82665332
2024-06-01,312764.409495605
2024-06-02,313960.427993652
2024-06-03,312403.159880859
2024-06-04,311699.104598145
2024-06-05,311885.779206055
2024-06-06,312105.694321777
2024-06-07,314025.213336914
2024-06-08,315855.171878418
2024-06-09,317070.876538086
2024-06-10,314835.291485352
2024-06-11,313368.57094091806
2024-06-12,312414.10216455103
2024-06-13,313532.258477539
2024-06-14,326791.3781875
2024-06-15,329258.860291992
2024-06-16,344569.352486816
2024-06-17,346440.520265625
2024-06-18,338722.791561035
2024-06-19,327026.538947754
2024-06-20,321271.530407715
2024-06-21,322224.06402294897
2024-06-22,323743.464613281
2024-06-23,326912.109980469
2024-06-24,326322.875057129
2024-06-25,325885.544045898
2024-06-26,325246.68124169897
2024-06-27,325746.710881348
2024-06-28,326571.302287109
2024-06-29,327511.239599121
2024-06-30,330824.996330566
2024-07-01,328452.52466162096
2024-07-02,327376.31444384804
2024-07-03,327048.68455712905
2024-07-04,327724.09493017604
2024-07-05,330120.493095215
2024-07-06,331978.152538086
2024-07-07,336902.23944775405
2024-07-08,330715.757747559
2024-07-09,329282.785638672
2024-07-10,332252.344784668
2024-07-11,331439.380905273
2024-07-12,337034.787663574
2024-07-13,339013.770447266
2024-07-14,340744.085571289
2024-07-15,339235.858575684
2024-07-16,337227.863912598
2024-07-17,336680.165895996
2024-07-18,338235.881456055
2024-07-19,349415.028818848
2024-07-20,348758.915905273
2024-07-21,349814.131183594
2024-07-22,346170.130273438
2024-07-23,341865.723061035
2024-07-24,338733.642303223
2024-07-25,338029.040772461
2024-07-26,339609.98463623
2024-07-27,341526.453592773
2024-07-28,342022.89949023403
2024-07-29,339118.956851074
2024-07-30,337793.082789551
2024-07-31,337013.941185547
2024-08-01,337325.382810547
2024-08-02,337751.86080029304
2024-08-03,336820.272884277
2024-08-04,332123.938027344
2024-08-05,329422.359892578
2024-08-06,329002.335126465
2024-08-07,328283.350973145
2024-08-08,330153.07256591803
2024-08-09,332678.79617968795
2024-08-10,338606.891630859
2024-08-11,342118.33059472695
2024-08-12,340093.17806494096
2024-08-13,338651.008879883
2024-08-14,339277.040894531
2024-08-15,339047.275965332
2024-08-16,341788.66301709
2024-08-17,341956.650241211
2024-08-18,340813.813216309
2024-08-19,338076.81100293
2024-08-20,332720.08245019504
2024-08-21,336857.701403809
2024-08-22,340200.270716797
2024-08-23,343898.58389013703
2024-08-24,345816.80187793
2024-08-25,347212.923348633
2024-08-26,344903.670561523
2024-08-27,341955.521983398
2024-08-28,341005.32381543
2024-08-29,341959.989713379
2024-08-30,344257.991229492
2024-08-31,346261.619713867
2024-09-01,347738.378141113
2024-09-02,345836.34041992197
2024-09-03,343881.540407227
2024-09-04,343436.90657226596
2024-09-05,344126.613698242
2024-09-06,346825.85492334
2024-09-07,349155.67853418
2024-09-08,349958.768384277
2024-09-09,347234.258352539
2024-09-10,344963.070072266
2024-09-11,345525.031767578
2024-09-12,344536.42456787097
2024-09-13,347253.13508252
2024-09-14,349700.490095703
2024-09-15,350767.74295800796
2024-09-16,347909.46463134803
2024-09-17,345893.97357861296
2024-09-18,345766.90429834
2024-09-19,345930.007987305
2024-09-20,348262.929165039
2024-09-21,352877.413319824
2024-09-22,353929.383571289
2024-09-23,352130.84196972696
2024-09-24,350532.602862305
2024-09-25,349690.64165234397
2024-09-26,348714.220638184
2024-09-27,350399.19250976597
2024-09-28,353936.77869531297
2024-09-29,357776.030654785
2024-09-30,356055.99512011703
2024-10-01,354389.392183594
2024-10-02,352829.678115234
2024-10-03,352933.50102832
2024-10-04,355116.081890625
2024-10-05,356051.44452978496
2024-10-06,357745.129131348
2024-10-07,355356.514484863
2024-10-08,354335.610228516
2024-10-09,354429.00469921896
2024-10-10,354642.771947754
2024-10-11,355485.905675781
2024-10-12,355757.456415527
2024-10-13,357609.68350293
2024-10-14,355849.25845654303
2024-10-15,355399.823353027
2024-10-16,357336.74983837904
2024-10-17,357795.317453613
2024-10-18,359810.246788574
2024-10-19,361293.370305664
2024-10-20,360748.002073242
2024-10-21,358964.411007813
2024-10-22,358794.62791894504
2024-10-23,359174.63676415995
2024-10-24,361716.477796875
2024-10-25,367452.761381836
2024-10-26,369524.485986328
2024-10-27,373827.94304492197
2024-10-28,374455.80029492197
2024-10-29,372327.59458642604
2024-10-30,372562.550263184
2024-10-31,374406.560658691
2024-11-01,375322.092295898
2024-11-02,377961.94175
2024-11-03,380665.118747559
2024-11-04,380823.09628222696
2024-11-05,379813.92791650404
2024-11-06,380105.50145166
2024-11-07,380541.518809082
2024-11-08,382709.659218262
2024-11-09,383380.809349121
2024-11-10,384965.26209472696
2024-11-11,383892.41829541
2024-11-12,382213.638291016
2024-11-13,382941.883695801
2024-11-14,384275.649396484
2024-11-15,390362.196621094
2024-11-16,393286.644538574
2024-11-17,395730.191961914
2024-11-18,390697.848882324
2024-11-19,389768.42039404303
2024-11-20,389470.371231934
2024-11-21,393233.067353027
2024-11-22,399559.31476415996
2024-11-23,398903.713687988
2024-11-24,401831.83912793
2024-11-25,395886.60367773403
2024-11-26,375818.627142578
2024-11-27,372981.768196777
2024-11-28,370700.883949219
2024-11-29,370282.93574218795
2024-11-30,372042.244956543
2024-12-01,373735.740995117
2024-12-02,372532.38213623
2024-12-03,371865.04453369096
2024-12-04,371733.560819824
2024-12-05,372842.522192383
2024-12-06,375083.622755371
2024-12-07,377224.242125488
2024-12-08,379305.246426758
2024-12-09,378893.99427685497
2024-12-10,378962.277479492
2024-12-11,376964.553317383
2024-12-12,376229.560847656
2024-12-13,375066.43726122996
2024-12-14,371876.428387207
2024-12-15,371613.204459473
2024-12-16,369836.128957031
2024-12-17,369364.312277344
2024-12-18,369523.75948242197
2024-12-19,369296.39184375
2024-12-20,371370.776306152
2024-12-21,373161.823955566
2024-12-22,374670.37333593797
2024-12-23,373355.78104785195
