time_index,Actual_TB,ARIMA_TB,MLP_TB,LSTM_TB,GRU_TB,PINT_TB,TFKAN_TB,EXP_TB,PROPHET_TB,MOE_TB
0,373.95630539952,374.0470830009295,374.0115399032,373.998304588512,374.009152645856,374.020142110432,373.981911150304,374.00972199182263,375.43170120606777,374.1141662597656
1,373.93731360912,374.0872274466735,373.9980395128,373.999702286048,374.015249770208,374.043928667872,373.948745869024,374.0237680881252,375.4219977635661,374.10614013671875
2,373.91440713872,374.1112738016755,373.98338858672,374.000589888736,374.026863302368,374.066560173792,373.928508712672,374.0378141844279,375.38930632005986,374.0956726074219
3,373.89329023632,374.11740025476064,373.984096343776,374.003111172832,374.039243843296,374.08770949296,373.910685566688,374.0518602807304,375.3598633805971,374.0954284667969
4,373.87229636672,374.14627563618615,373.99234261936,374.009604441824,374.051682371296,374.106798884576,373.90404493488,374.06590637703306,375.3526598377232,374.103515625
5,373.84360735472,374.166604837476,374.011000190688,374.016251930336,374.063559206624,374.12342382768,373.90012141744,374.0799524733357,375.36491596957484,374.119873046875
6,373.81773691232,374.1879257777301,374.026136325856,374.020669187808,374.073081538272,374.13735432368,373.901916350176,374.0939985696383,375.3785633456948,374.1336364746094
7,373.82789271072,374.20832117952017,374.022774230752,374.020772372192,374.082418845408,374.148476913376,373.888579643104,374.10804466594095,375.3798703836305,374.1331481933594
8,373.84199674352,374.22569475716756,374.031649421024,374.021139599072,374.099673638624,374.15758807216,373.8881474168,374.12209076224354,375.3722963763361,374.1412658691406
9,373.85276770592,374.24485923560377,374.046812428,374.02197470384,374.11949346992,374.16524628144,373.89447131312,374.1361368585462,375.37062421775994,374.1546630859375
10,373.87371683632,374.263368426832,374.06680965296,374.0228433016,374.138050873056,374.171891468,373.905357555424,374.1501829548488,375.3837455976194,374.17236328125
11,373.88793271712,374.2821146422275,374.076546680544,374.023419387616,374.157836355296,374.17796067504,373.907715352288,374.1642290511514,375.40456197748233,374.18353271484375
12,373.89996756192,374.30096503201645,374.089316320992,374.02425246896,374.176405325536,374.183810860768,373.910808028896,374.178275147454,375.4174511923128,374.1961669921875
13,373.90685739872,374.31949489740646,374.097173194464,374.026167854816,374.194218501856,374.189774882528,373.913310775008,374.1923212437566,375.41519910247,374.2041931152344
14,373.91491045472,374.3381608340044,374.100201416416,374.02834654384,374.211131786976,374.19577884848,373.913977677536,374.2063673400593,375.40740255426726,374.20843505859375
15,373.93419304992,374.3567534799295,374.105055200992,374.034917156576,374.228557629152,374.201923880672,373.913624356576,374.22041343636187,375.411054264136,374.2151794433594
16,373.95271507872,374.375361533939,374.124117755616,374.08975098032,374.248993294048,374.208432146144,373.909261854432,374.2344595326645,375.43274395676013,374.23638916015625
17,374.14010521792,374.39399565955335,374.206528423648,374.256254928608,374.270046799584,374.215428769504,373.991117719264,374.2485056289671,375.46099003337395,374.31103515625
18,374.20193479232,374.4126017906299,374.270566123232,374.375268206304,374.324292994784,374.224408364768,374.037647685344,374.26255172526976,375.4773641517109,374.3714599609375
19,374.24253561632,374.4312208946081,374.333160933088,374.447700395744,374.361212995296,374.236288632544,374.065661855456,374.2765978215723,375.4758088614415,374.42413330078125
20,374.21844355712,374.44983257457267,374.370977171168,374.501888870112,374.385155655392,374.25111523504,374.066895554272,374.29064391787495,375.4704557610567,374.4565734863281
21,374.19164477632,374.4684438241872,374.3917414008,374.549086521056,374.39192588464,374.26772631728,374.0553395832,374.30469001417754,375.48298316075926,374.476318359375
22,374.19373633392,374.487058265499,374.419615565536,374.561202030304,374.39423520944,374.284681889504,374.071246546656,374.3187361104802,375.5209065061699,374.5005798339844
23,374.18817748832,374.50567022110323,374.434994898656,374.56349094064,374.409015314144,374.301716793056,374.080595691232,374.33278220678284,375.56785814176834,374.5173645019531
24,374.19900437472,374.52428357573694,374.442965944032,374.563683223264,374.42684215472,374.318527399648,374.071937033952,374.34682830308543,375.59627085532793,374.5274963378906
25,374.18594052832,374.5428963594208,374.438494717664,374.566485083872,374.447840741088,374.335230559968,374.056913684192,374.3608743993881,375.59114081882876,374.527099609375
26,374.16566248592,374.56150893379265,374.440740636384,374.568512374496,374.463305369312,374.351194539744,374.04696903856,374.3749204956906,375.5629736060805,374.529052734375
27,374.11638225712,374.58012183217846,374.444918982368,374.569153513184,374.474722363104,374.36602638512,374.034545346272,374.38896659199327,375.53798954613575,374.531982421875
28,374.10669622032,374.59873448297367,374.441908946656,374.567030671072,374.478784939744,374.378952935136,374.0156731512,374.40301268829586,375.53518133260144,374.5305480957031
29,374.09702136832,374.6173472729161,374.451467765472,374.564820272864,374.490443138784,374.3900784248,374.017761724128,374.4170587845985,375.5517621603134,374.540283203125
30,374.07729138112,374.6359600315318,374.451127600864,374.564431906528,374.504831862496,374.39960113328,374.012204290784,374.4311048809011,375.56966589647993,374.54376220703125
31,374.08395752192,374.65457276029065,374.44982169776,374.56552386736,374.516948158176,374.407485081312,374.005430154976,374.44515097720375,375.5751745779045,374.54547119140625
32,374.07787299072,374.6731855222803,374.452324648672,374.565942249184,374.533737137888,374.413899581152,373.994343893728,374.4591970735064,375.5717637132085,374.54931640625
33,374.08010995072,374.691798258539,374.452642793184,374.56530956464,374.548751107808,374.41902780592,373.990729477856,374.473243169809,375.574227520872,374.5521240234375
34,374.09807273952,374.71041100681,374.471787333344,374.564535322336,374.564551706336,374.423224764128,373.992559186144,374.4872892661116,375.5914558654193,374.56878662109375
35,374.10652844832,374.7290237542087,374.481187096288,374.563196618464,374.584006723296,374.426925647584,373.995104615904,374.5013353624142,375.616344260615,374.57989501953125
36,374.11326169792,374.7476364981266,374.498782856928,374.562349500128,374.602158032608,374.43044221104,374.003681608416,374.51538145871683,375.63327670954806,374.5958557128906
37,374.12384251872,374.7662492456404,374.499102377696,374.562401863392,374.619260634848,374.433950779104,374.003269128416,374.5294275550194,375.6350661901907,374.5989990234375
38,374.12182925472,374.7848619906085,374.498037384928,374.5644516984,374.637142394592,374.437663098592,374.003423485152,374.5434736513221,375.6313204238252,374.6009521484375
39,374.13717480032,374.80347473649675,374.5049548408,374.573732841184,374.652730459872,374.441478932192,374.004055573216,374.55751974762467,375.63903922879393,374.6094055175781
40,374.16468940832,374.82208748245927,374.517550073568,374.642349164256,374.671747303136,374.445507397344,374.001560343264,374.5715658439273,375.66481075477554,374.62774658203125
41,374.35259404832,374.8407002280197,374.611136530144,374.821104830176,374.694527026912,374.45010333872,374.099976365792,374.58561194022985,375.69715282748376,374.71148681640625
42,374.42815855712,374.8593129739686,374.666303620832,374.897469146848,374.749271869152,374.456755308256,374.134822143712,374.5996580365325,375.7176496209651,374.7628173828125
43,374.44390675552,374.8779257196835,374.732327339744,374.918032246496,374.788825204448,374.466951136992,374.162545329888,374.61370413283515,375.7202524363448,374.8139953613281
44,374.44350410272,374.8965384654633,374.742232647392,374.92235133104,374.80749621424,374.480068232928,374.150231885536,374.62775022913775,375.71912252021394,374.823486328125
45,374.44981232992,374.91515121126355,374.739271665376,374.930957256416,374.818704770784,374.495634573024,374.123928274656,374.6417963254404,375.73594235427265,374.8251037597656
46,374.49110661152,374.9337639570169,374.76858388656,374.949998151392,374.83196997808,374.512881845984,374.148334094048,374.655842421743,375.77820240922756,374.85223388671875
47,374.71560791712,374.9523767028102,374.80685559984,374.96840380592,374.85816996016,374.531490399968,374.166867740384,374.66988851804564,375.82955135332634,374.88702392578125
48,374.72840332832,374.97098944858317,374.863391147744,374.979226027744,374.921940354784,374.554420692704,374.1861856888,374.68393461434823,375.8624211231989,374.9356994628906
49,374.70472510672,374.9896021943603,374.90208071856,374.977772570336,374.951344522976,374.580290307808,374.172327134944,374.6979807106508,375.8618259429265,374.9646911621094
50,374.67260236112,375.0082149401408,374.905675826912,374.97185689776,374.955978049248,374.60768710832,374.15271219376,374.7120268069534,375.83828991445426,374.96600341796875
51,374.66758038592,375.0268276859161,374.890323822304,374.963731810016,374.953257518816,374.635215111904,374.104593139424,374.72607290325607,375.8180404406072,374.9534606933594
52,374.67978300272,375.0454404316951,374.912945211104,374.959509456608,374.962690574048,374.662408750816,374.131594135264,374.74011899955866,375.8200682196044,374.970947265625
53,374.70480340032,375.0640531774725,374.9646603896,374.956540348128,374.983394379488,374.688691635936,374.135030646496,374.7541650958613,375.8415727942935,375.0094909667969
54,374.73376084752,375.0826659232501,374.985053816544,374.955845338848,375.008046401248,374.71415591088,374.136716953312,374.76821119216396,375.8644826004439,375.02825927734375
55,374.73784329952,375.10127866902815,374.986933389024,374.959725266656,375.032793974496,374.739063260896,374.132328400608,374.78225728846655,375.87509279172787,375.0343017578125
56,374.76134256432,375.11989141480564,374.998436398816,374.964111656672,375.050515891936,374.762963650272,374.136936482528,374.7963033847692,375.87689454115736,375.0453796386719
57,374.79344294032,375.1385041605835,375.012268558048,374.97042657456,375.070040114912,374.786140128992,374.131224553184,374.81034948107174,375.8846824065622,375.0584716796875
58,374.83699655152,375.1571169063612,375.049635743456,374.978157987552,375.09230158,374.8088125048,374.145405961952,374.8243955773744,375.9073361214325,375.08892822265625
59,374.87489065392,375.1757296521389,375.093510325984,374.986674128608,375.117594412768,374.831281063648,374.156627822304,374.838441673677,375.9377425541979,375.1243896484375
60,374.90551463632,375.1943423979166,375.12623022256,374.9963585144,375.142101206752,374.853877876448,374.16392089776,374.85248776997963,375.96028376736615,375.1519775390625
61,374.94173101872,375.2129551436944,375.141087102688,375.007244306144,375.164528543456,374.876679816928,374.16023654576,374.8665338662822,375.9677786497094,375.16632080078125
62,374.94743526672,375.2315678894721,375.163292010208,375.019536893664,375.18790222,374.899778832096,374.162702534368,374.8805799625849,375.9698412432688,375.1854248046875
63,374.96379862912,375.2501806352498,375.172704814816,375.033005721312,375.20528695472,374.922867689184,374.168580982496,374.8946260588875,375.9834682428551,375.19677734375
64,374.99254356512,375.26879338102754,375.191395419872,375.053968197344,375.223948461792,374.945642694368,374.162656921312,374.90867215519006,376.01522899867865,375.21588134765625
65,375.18578335472,375.2874061268053,375.26636322992,375.143879198432,375.246576994016,374.968095590112,374.241755170528,374.9227182514927,376.05362284221593,375.27996826171875
66,375.27189512992,375.306018872583,375.33142606,375.158695577312,375.302562432736,374.991677212384,374.295595599584,374.9367643477953,376.0802270537516,375.33343505859375
67,375.28634589152,375.32463161836074,375.38890178736,375.1614289528,375.345063839456,375.01780451504,374.308713055968,374.95081044409795,376.08901194652833,375.3771057128906
68,375.31311111792,375.3432443641385,375.419204716256,375.16173107376,375.364351739616,375.046037489376,374.316886935264,374.96485654040055,376.09413229990986,375.4003601074219
69,375.33441816192,375.3618571099162,375.427315320544,375.168673826528,375.380462323424,375.07586154672,374.29854249136,374.9789026367032,376.1172601182226,375.4101257324219
70,375.34206856512,375.38046985569395,375.477676721888,375.218340677344,375.397509023456,375.106566538976,374.323598280416,374.9929487330058,376.165864247445,375.4537658691406
71,375.58618800992,375.39908260147166,375.58814433456,375.355617494752,375.41422293168,375.137127941856,374.484738426592,375.00699482930844,376.22357202068315,375.5477294921875
72,375.59817811552,375.4176953472494,375.63922833584,375.359486478048,375.478945892064,375.169350813408,374.503269222112,375.021040925611,376.2628118934252,375.5919189453125
73,375.57117800832,375.43630809302715,375.67927017648,375.355395589856,375.509106083552,375.203874784992,374.495781734112,375.0350870219136,376.26857815977195,375.6214904785156
74,375.51624945552,375.45492083880487,375.675103135456,375.34979055792,375.51158059184,375.239311017696,374.465569277664,375.0491331182163,376.2514186743765,375.6175537109375
75,375.46054915152,375.4735335845826,375.664621831904,375.34658650288,375.501183174368,375.273901573856,374.409853552352,375.06317921451887,376.2375531846717,375.60784912109375
76,375.45705949392,375.4921463303603,375.67527575728,375.346790450912,375.494676760288,375.306012116704,374.423202711264,375.0772253108215,376.24594191800867,375.6163024902344
77,375.47361299792,375.5107590761381,375.712750814944,375.345870587616,375.509850834656,375.335346554592,374.422628255456,375.0912714071241,376.27375847749835,375.644775390625
78,375.48117392272,375.52937182191573,375.744704202464,375.343827961568,375.533243123424,375.362116699872,374.436282156768,375.10531750342676,376.30291846747895,375.6709899902344
79,375.48492083072,375.5479845676935,375.737635751648,375.3417250424,375.554343880416,375.386495043296,374.418298259168,375.11936359972935,376.31971194822813,375.6704406738281
80,375.49826429712,375.5665973134713,375.754755458784,375.344158656224,375.571650496224,375.408856975072,374.423655073504,375.13340969603195,376.3276270549069,375.68511962890625
81,375.53072258672,375.58521005924894,375.776741476064,375.349211350752,375.58916079792,375.429368170208,374.426801391328,375.14745579233454,376.3414473119857,375.70343017578125
82,375.56116761232,375.6038228050267,375.814277744352,375.356264072928,375.61073524912,375.448574543584,374.446668629728,375.1615018886372,376.3700418363551,375.73382568359375
83,375.60925106752,375.6224355508044,375.856114353888,375.36322019504,375.632714188512,375.466861184736,374.456995956448,375.17554798493984,376.4062570416688,375.7671203613281
84,375.70544034752,375.64104829658214,375.887164262112,375.370321413856,375.6581918328,375.484947547872,374.473638102752,375.18959408124243,376.434468195922,375.79364013671875
85,375.74006848832,375.65966104235986,375.922192074464,375.377737467616,375.694501922528,375.504175285984,374.494931470048,375.2036401775451,376.44749469598145,375.82275390625
86,375.72672502192,375.67827378813763,375.957748631264,375.385254971104,375.720063452896,375.52445710512,374.49658802352,375.2176862738477,376.45494942362933,375.84991455078125
87,375.74615301952,375.69688653391535,375.947832379104,375.394259486432,375.731302090464,375.545191778016,374.482785879776,375.23173237015027,376.47381393714187,375.84771728515625
88,375.76800811872,375.71549927969306,375.958909404896,375.414468298464,375.748194649824,375.566102742752,374.47484793008,375.24577846645286,376.5106360873802,375.86175537109375
89,375.97064314032,375.73411202547084,376.030608410336,375.509176338144,375.76949686448,375.58697517232,374.55972786352,375.2598245627555,376.55389577910626,375.9241943359375
90,376.05178886432,375.75272477124855,376.114388715232,375.529976415968,375.827545638624,375.609326749408,374.61859131568,375.2738706590581,376.5851615913093,375.98968505859375
91,376.08977244512,375.77133751702627,376.173081577184,375.53467089072,375.870296213216,375.634372904672,374.628073457376,375.28791675536075,376.59840489815235,376.0332336425781
92,376.09397792992,375.789950262804,376.216973264608,375.53891893424,375.895213786848,375.662109181664,374.6477528696,375.30196285166335,376.60778488965434,376.06591796875
93,376.13531695072,375.80856300858176,376.231746914016,375.547172800224,375.906576811744,375.69129472176,374.639197734624,375.316008947966,376.6349616235042,376.0798034667969
94,376.15906228112,375.8271757543594,376.276508526304,375.58868893872,375.926613919456,375.721645491936,374.654675568352,375.33005504426865,376.6873794054156,376.1188049316406
