Real_TB,MLP_TB,LSTM_TB,GRU_TB,TFKAN_TB,PINT_TB,EXP_TB,ARIMA_TB,PROPHET_TB,MOE_TB
373.95633,374.01157,373.9983,374.0092,373.98193,374.02014,374.00943,374.0549,375.43170120606777,374.11417
373.93735,373.99805,373.99973,374.01526,373.94873,374.04395,374.0232,374.10175,375.4219977635661,374.10614
373.91443,373.9834,374.00058,374.02686,373.9285,374.0666,374.03696,374.13242,375.38930632005986,374.09567
373.8933,373.9841,374.00314,374.03925,373.9107,374.08774,374.05072,374.15448,375.3598633805971,374.09546
373.8723,373.99237,374.0096,374.0517,373.90405,374.1068,374.06448,374.18396,375.3526598377232,374.10355
373.84363,374.01102,374.01627,374.06357,373.90012,374.12344,374.07828,374.21182,375.36491596957484,374.11987
373.81775,374.02615,374.0207,374.0731,373.90195,374.13736,374.092,374.2404,375.3785633456948,374.13364
373.8279,374.0228,374.02078,374.08243,373.88858,374.1485,374.10577,374.26886,375.3798703836305,374.13315
373.842,374.03165,374.02115,374.09967,373.88815,374.1576,374.11954,374.29688,375.3722963763361,374.14127
373.85278,374.0468,374.022,374.1195,373.8945,374.16528,374.1333,374.32498,375.37062421775994,374.15466
373.87372,374.06683,374.02286,374.13806,373.90536,374.1719,374.14706,374.3531,375.3837455976194,374.17236
373.88794,374.07657,374.02344,374.15787,373.90775,374.17798,374.1608,374.3812,375.40456197748233,374.18353
373.9,374.08932,374.02426,374.17642,373.91083,374.18384,374.17456,374.40927,375.4174511923128,374.19617
373.90686,374.0972,374.02618,374.1942,373.9133,374.1898,374.18832,374.4374,375.41519910247,374.2042
373.91492,374.10022,374.02838,374.21115,373.91397,374.1958,374.2021,374.4655,375.40740255426726,374.20844
373.9342,374.10507,374.0349,374.22855,373.91364,374.20193,374.21585,374.4936,375.411054264136,374.21518
373.95273,374.12415,374.08978,374.249,373.90927,374.20847,374.22958,374.52173,375.43274395676013,374.23636
374.1401,374.20654,374.25626,374.27005,373.99112,374.21542,374.24338,374.5498,375.46099003337395,374.31104
374.20193,374.27057,374.37527,374.3243,374.03766,374.22443,374.25714,374.5779,375.4773641517109,374.37146
374.24255,374.3332,374.4477,374.36124,374.06567,374.2363,374.2709,374.60605,375.4758088614415,374.42413
374.21844,374.371,374.5019,374.38516,374.06693,374.25113,374.28467,374.63412,375.4704557610567,374.45654
374.19165,374.39175,374.5491,374.39194,374.05536,374.26776,374.2984,374.66223,375.48298316075926,374.47632
374.19376,374.41962,374.56122,374.39426,374.07126,374.2847,374.31216,374.69034,375.5209065061699,374.50058
374.1882,374.43503,374.5635,374.40906,374.08063,374.30173,374.32593,374.71844,375.56785814176834,374.51736
374.19904,374.44296,374.5637,374.42685,374.07196,374.31854,374.3397,374.74658,375.59627085532793,374.5275
374.18594,374.4385,374.56647,374.44788,374.05692,374.33527,374.35345,374.77466,375.59114081882876,374.5271
374.16568,374.44077,374.56854,374.4633,374.047,374.3512,374.3672,374.80276,375.5629736060805,374.52908
374.1164,374.44492,374.56915,374.47473,374.03455,374.36603,374.38095,374.8309,375.53798954613575,374.53198
374.10672,374.44193,374.56705,374.4788,374.0157,374.37897,374.3947,374.85898,375.53518133260144,374.53055
374.09702,374.45148,374.56485,374.49045,374.01776,374.39008,374.4085,374.8871,375.5517621603134,374.54028
374.0773,374.45114,374.56442,374.50485,374.01224,374.39963,374.42227,374.9152,375.56966589647993,374.54376
374.08395,374.44986,374.56555,374.51697,374.00546,374.4075,374.43604,374.9433,375.5751745779045,374.54547
374.07788,374.45233,374.56595,374.53375,373.99435,374.4139,374.44977,374.9714,375.5717637132085,374.54932
374.0801,374.45267,374.5653,374.54877,373.99075,374.41904,374.46353,374.9995,375.574227520872,374.55212
374.09808,374.4718,374.56454,374.56458,373.99255,374.42325,374.4773,375.02762,375.5914558654193,374.5688
374.10654,374.4812,374.5632,374.58405,373.99512,374.42694,374.49106,375.0557,375.616344260615,374.5799
374.11325,374.4988,374.56235,374.60217,374.0037,374.43045,374.50482,375.08383,375.63327670954806,374.59586
374.12387,374.4991,374.5624,374.61926,374.00327,374.434,374.51855,375.11194,375.6350661901907,374.599
374.12186,374.49808,374.56448,374.63715,374.00345,374.43765,374.53232,375.14,375.6313204238252,374.60095
374.13718,374.50497,374.57373,374.65274,374.0041,374.4415,374.54608,375.16815,375.63903922879393,374.6094
374.1647,374.51755,374.64233,374.67178,374.00156,374.44553,374.55988,375.19623,375.66481075477554,374.62775
374.3526,374.61115,374.82114,374.69452,374.09998,374.4501,374.57364,375.22437,375.69715282748376,374.71146
374.42816,374.66632,374.8975,374.7493,374.13483,374.45676,374.58737,375.25247,375.7176496209651,374.76282
374.4439,374.73233,374.91803,374.78885,374.16257,374.46695,374.60114,375.28055,375.7202524363448,374.81396
374.4435,374.74225,374.92236,374.8075,374.15024,374.48007,374.6149,375.3087,375.71912252021394,374.8235
374.4498,374.7393,374.93097,374.81873,374.12393,374.49564,374.62866,375.33676,375.73594235427265,374.82513
374.49112,374.7686,374.95,374.832,374.14835,374.5129,374.64243,375.36487,375.77820240922756,374.85223
374.71564,374.80685,374.96844,374.8582,374.16687,374.53152,374.65616,375.393,375.82955135332634,374.88702
374.72842,374.8634,374.97925,374.92197,374.18622,374.55444,374.66992,375.42108,375.8624211231989,374.93573
374.7047,374.9021,374.97778,374.95135,374.17236,374.5803,374.6837,375.4492,375.8618259429265,374.9647
374.6726,374.90567,374.97186,374.956,374.1527,374.6077,374.69745,375.4773,375.83828991445426,374.966
374.66757,374.89035,374.96375,374.95328,374.1046,374.63522,374.7112,375.5054,375.8180404406072,374.95346
374.6798,374.91296,374.9595,374.9627,374.13162,374.6624,374.725,375.5335,375.8200682196044,374.97095
374.70483,374.96466,374.95654,374.9834,374.13504,374.6887,374.73874,375.5616,375.8415727942935,375.0095
374.7338,374.98508,374.95584,375.00806,374.13672,374.71414,374.7525,375.58972,375.8644826004439,375.02826
374.73785,374.98694,374.95975,375.0328,374.13235,374.73907,374.76627,375.6178,375.87509279172787,375.0343
374.76135,374.99847,374.96414,375.05054,374.13696,374.76297,374.78003,375.64594,375.87689454115736,375.04538
374.79346,375.0123,374.97043,375.07007,374.13126,374.78616,374.7938,375.67404,375.8846824065622,375.05847
374.837,375.04962,374.97815,375.09232,374.14542,374.8088,374.80753,375.70212,375.9073361214325,375.08893
