p,d,q,aic,bic
0,1,0,-13729.029596030023,-13722.659975203074
0,1,1,-15765.854396518369,-15753.11515486447
0,1,2,-15904.660991277407,-15885.55212879656
0,1,3,-15954.929089697966,-15929.45060639017
0,1,4,-15955.06977155982,-15923.221667425074
0,1,5,-15974.953450651508,-15936.735725689814
1,1,0,-14674.623733514836,-14661.884491860937
1,1,1,-15929.735300381679,-15910.626437900832
1,1,2,-15943.241156689159,-15917.762673381363
1,1,3,-15900.680141861196,-15868.83203772645
1,1,4,-15959.85714387544,-15921.639418913746
1,1,5,-15968.032735438075,-15923.44538964943
2,1,0,-14931.082746141905,-14911.973883661058
2,1,1,-15949.34866202192,-15923.870178714124
2,1,2,-15945.26532221204,-15913.417218077295
2,1,3,-15948.577095100874,-15910.35937013918
2,1,4,-15949.298859351444,-15904.7115135628
2,1,5,-15969.221499648105,-15918.264533032512
3,1,0,-15056.915987394448,-15031.437504086653
3,1,1,-15949.690848203929,-15917.842744069183
3,1,2,-15951.806243366857,-15913.588518405162
3,1,3,-15947.860331684655,-15903.27298589601
3,1,4,-15957.282064548028,-15906.325097932435
3,1,5,-15971.532835224503,-15914.206247781962
4,1,0,-15343.516882179829,-15311.668778045083
4,1,1,-15959.127451568953,-15920.909726607259
4,1,2,-15957.766994975962,-15913.179649187317
4,1,3,-15968.114770431966,-15917.157803816373
4,1,4,-15970.962843557209,-15913.636256114667
4,1,5,-15971.680391864695,-15907.984183595203
5,1,0,-15426.008955800775,-15387.79123083908
5,1,1,-15979.562410753966,-15934.975064965322
5,1,2,-15958.762520712446,-15907.805554096853
5,1,3,-15949.528469129513,-15892.201881686971
5,1,4,-15969.174572494445,-15905.478364224953
5,1,5,-15966.83949165807,-15896.773662561629
