forecast_step,MoE_TB
0,396.17252
1,396.21234
2,396.22888
3,396.23428
4,396.25903
5,396.2946
6,396.32935
7,396.35382
8,396.37866
9,396.4037
10,396.43292
11,396.46967
12,396.50256
13,396.53113
14,396.55826
15,396.5793
16,396.6042
17,396.6495
18,396.69553
19,396.72742
20,396.75983
21,396.7866
22,396.81146
23,396.87878
24,396.91772
25,396.9547
26,396.98212
27,397.0027
28,397.03174
29,397.06827
30,397.10498
31,397.13443
32,397.1643
33,397.19183
34,397.22174
35,397.25903
36,397.2935
37,397.3238
38,397.35385
39,397.37885
40,397.40796
41,397.44336
42,397.48325
43,397.5146
44,397.547
45,397.57428
46,397.60275
47,397.65186
48,397.6891
49,397.72562
50,397.75687
51,397.78323
52,397.81396
53,397.84924
54,397.88486
55,397.91696
56,397.94852
57,397.9779
58,398.00873
59,398.04544
60,398.0797
61,398.11182
62,398.14282
63,398.17026
64,398.2006
65,398.23364
66,398.2697
67,398.30118
68,398.33298
69,398.36127
70,398.39124
71,398.43094
72,398.466
73,398.50104
74,398.53326
75,398.56223
76,398.59344
77,398.62747
78,398.66183
79,398.69446
80,398.72653
81,398.7571
82,398.78864
83,398.82422
84,398.85828
85,398.89145
86,398.9235
87,398.95316
88,398.98474
89,399.01776
90,399.05246
91,399.08475
92,399.11697
93,399.14682
94,399.17786
95,399.21338
96,399.24744
97,399.28195
98,399.3149
99,399.34592
100,399.378
101,399.41177
102,399.44592
103,399.47925
104,399.5121
105,399.54382
106,399.57617
107,399.61127
108,399.6454
109,399.6794
110,399.71234
111,399.74384
112,399.7765
113,399.81033
114,399.84488
115,399.87814
116,399.91095
117,399.94202
118,399.97375
119,400.0078
120,400.04166
121,400.076
122,400.10944
123,400.1415
124,400.17438
125,400.20813
126,400.24234
127,400.276
128,400.30927
129,400.3417
130,400.37476
131,400.40936
132,400.44366
133,400.47787
134,400.5112
135,400.54352
136,400.57684
137,400.6109
138,400.64548
139,400.67926
140,400.7122
141,400.74393
142,400.77585
143,400.8093
144,400.8429
145,400.8769
146,400.9103
147,400.94278
148,400.97568
149,401.0093
150,401.0431
151,401.07672
152,401.1098
153,401.14236
154,401.1754
155,401.20953
156,401.24353
157,401.27747
158,401.31058
159,401.34314
160,401.37634
161,401.4104
162,401.44464
163,401.4783
164,401.5111
165,401.54282
166,401.5747
167,401.60767
168,401.641
169,401.6746
170,401.70764
171,401.74008
172,401.77286
173,401.80606
174,401.8395
175,401.87277
176,401.90558
177,401.93802
178,401.97083
179,402.00446
180,402.03802
181,402.07156
182,402.10437
183,402.1368
184,402.16992
185,402.20367
186,402.23764
187,402.27112
188,402.30362
189,402.33527
190,402.3672
191,402.39978
192,402.4328
193,402.466
194,402.49884
195,402.53116
196,402.56378
197,402.59674
198,402.62988
199,402.6629
200,402.69547
201,402.72775
202,402.76038
203,402.79364
204,402.82697
205,402.8601
206,402.8927
207,402.925
208,402.95786
209,402.99142
210,403.02515
211,403.05844
212,403.09073
213,403.1223
214,403.154
215,403.18634
216,403.2192
217,403.25214
218,403.28467
219,403.31683
220,403.3492
221,403.38242
222,403.41635
223,403.45013
224,403.48352
225,403.51675
226,403.5503
227,403.58435
228,403.61835
229,403.6523
230,403.68573
231,403.71906
232,403.75284
233,403.7871
234,403.8216
235,403.85568
236,403.88904
237,403.9218
238,403.9547
239,403.9881
240,404.0219
241,404.05585
242,404.0894
243,404.12274
244,404.15622
245,404.1901
246,404.22406
247,404.25787
248,404.29138
249,404.32474
250,404.3583
251,404.39227
252,404.42645
253,404.46042
254,404.49387
255,404.52728
256,404.56113
257,404.5955
258,404.62994
259,404.66412
260,404.6975
261,404.7304
262,404.76343
263,404.79697
264,404.83084
265,404.86475
266,404.89844
267,404.93185
268,404.96548
269,404.9994
270,405.03345
271,405.06735
272,405.10086
273,405.13434
274,405.168
275,405.20215
276,405.23627
277,405.27032
278,405.30386
279,405.33734
280,405.37128
281,405.40567
282,405.4402
283,405.4743
284,405.50778
285,405.54083
286,405.57394
287,405.60742
288,405.6414
289,405.67538
290,405.709
291,405.74252
292,405.7762
293,405.81012
294,405.84412
295,405.878
296,405.91156
297,405.94504
298,405.9787
299,406.01282
300,406.04694
301,406.0808
302,406.11438
303,406.14795
304,406.1817
305,406.21594
306,406.2504
307,406.28442
308,406.3179
309,406.3509
310,406.38394
311,406.41736
312,406.4512
313,406.48495
314,406.51855
315,406.55197
316,406.5855
317,406.61926
318,406.6531
319,406.68686
320,406.72028
321,406.7536
322,406.7871
323,406.821
324,406.85495
325,406.88867
326,406.92203
327,406.95532
328,406.98895
329,407.02298
330,407.0572
331,407.09113
332,407.12427
333,407.1571
334,407.18997
335,407.22327
336,407.25684
337,407.2904
338,407.32376
339,407.35587
340,407.3878
341,407.4207
342,407.45398
343,407.4871
344,407.52014
345,407.553
346,407.5871
347,407.62173
348,407.6566
349,407.6911
350,407.72504
351,407.75903
352,407.79343
353,407.82852
354,407.86383
355,407.89865
356,407.93256
357,407.96573
358,407.99905
359,408.03308
360,408.06754
361,408.10205
362,408.13617
363,408.17017
364,408.20422
365,408.2387
366,408.27335
367,408.30786
368,408.3419
369,408.3758
370,408.40994
371,408.4447
372,408.47964
373,408.51416
374,408.54825
375,408.5821
376,408.61655
377,408.65182
378,408.6872
379,408.7221
380,408.756
381,408.78925
382,408.82257
383,408.85657
384,408.8911
385,408.92563
386,408.95984
387,408.9938
388,409.02792
389,409.06244
390,409.09717
391,409.13168
392,409.16577
393,409.19962
394,409.23386
395,409.26865
396,409.30353
397,409.33813
398,409.37213
399,409.40604
400,409.44055
401,409.47574
402,409.51117
403,409.54608
404,409.57993
405,409.61307
406,409.6464
407,409.68027
408,409.7148
409,409.74936
410,409.78348
411,409.81735
412,409.85135
413,409.88593
414,409.92065
415,409.95508
416,409.9891
417,410.0229
418,410.05713
419,410.09177
420,410.1267
421,410.16125
422,410.19513
423,410.229
424,410.26343
425,410.29865
426,410.33414
427,410.36905
428,410.40277
429,410.43582
430,410.469
431,410.5029
432,410.53735
433,410.57193
434,410.606
435,410.6398
436,410.6738
437,410.7083
438,410.74307
439,410.77747
440,410.81143
441,410.84525
442,410.8794
443,410.9141
444,410.94907
445,410.98355
446,411.0175
447,411.05133
448,411.08575
449,411.12103
450,411.1566
451,411.19144
452,411.22522
453,411.2582
454,411.29132
455,411.32523
456,411.35974
457,411.39423
458,411.4283
459,411.46207
460,411.4961
461,411.5306
462,411.5653
463,411.5997
464,411.6336
465,411.6674
466,411.70148
467,411.73615
468,411.77115
469,411.8056
470,411.83942
471,411.87317
472,411.9075
473,411.94275
474,411.97824
475,412.0131
476,412.0467
477,412.07953
478,412.11243
479,412.1462
480,412.1805
481,412.21487
482,412.2488
483,412.28244
484,412.31622
485,412.35046
486,412.38504
487,412.41922
488,412.45288
489,412.48636
490,412.52023
491,412.55472
492,412.58942
493,412.62357
494,412.65717
495,412.69055
496,412.72467
497,412.7596
498,412.79486
499,412.8293
500,412.86264
501,412.8951
502,412.9276
503,412.961
504,412.99506
505,413.02905
506,413.06268
507,413.09583
508,413.12927
509,413.1632
510,413.1975
511,413.23138
512,413.2647
513,413.29773
514,413.33124
515,413.36542
516,413.39984
517,413.43372
518,413.46692
519,413.5
520,413.53378
521,413.5685
522,413.60345
523,413.63773
524,413.67072
525,413.70276
526,413.735
527,413.76804
528,413.80182
529,413.83557
530,413.8689
531,413.9018
532,413.93503
533,413.96875
534,414.0027
535,414.0364
536,414.0694
537,414.1023
538,414.13556
539,414.16956
540,414.20377
541,414.23752
542,414.27045
543,414.30328
544,414.33682
545,414.37146
546,414.40637
547,414.44043
548,414.47314
549,414.50497
550,414.53683
551,414.56973
552,414.60333
553,414.63693
554,414.66998
555,414.7027
556,414.7356
557,414.76913
558,414.80304
559,414.83646
560,414.86923
561,414.90176
562,414.9348
563,414.96863
564,415.00262
565,415.0361
566,415.06885
567,415.10138
568,415.13467
569,415.169
570,415.20377
571,415.23764
572,415.27075
573,415.30685
574,415.3431
575,415.3809
576,415.41983
577,415.45883
578,415.497
579,415.5347
580,415.57275
581,415.61185
582,415.6513
583,415.6903
584,415.72833
585,415.76596
586,415.80438
587,415.844
588,415.88406
589,415.92337
590,415.96146
591,415.99936
592,416.03848
593,416.07935
594,416.1208
595,416.16092
596,416.19888
597,416.2355
598,416.27234
599,416.31064
600,416.3503
601,416.38995
602,416.429
603,416.46735
604,416.5062
605,416.54614
606,416.5866
607,416.62653
608,416.66547
609,416.7042
610,416.74374
611,416.7845
612,416.82578
613,416.8663
614,416.90567
615,416.94495
616,416.9854
617,417.02774
618,417.0706
619,417.1123
620,417.15176
621,417.1899
622,417.2283
623,417.2683
624,417.30963
625,417.35107
626,417.3917
627,417.43182
628,417.4725
629,417.5142
630,417.55643
631,417.59818
632,417.63892
633,417.67944
634,417.72083
635,417.76346
636,417.8065
637,417.84872
638,417.88986
639,417.9309
640,417.9731
641,418.01703
642,418.06146
643,418.10474
644,418.14584
645,418.18558
646,418.22556
647,418.26697
648,418.3097
649,418.35245
650,418.3944
651,418.43576
652,418.4776
653,418.5203
654,418.56348
655,418.60614
656,418.64777
657,418.68918
658,418.73123
659,418.7745
660,418.81793
661,418.86063
662,418.90225
663,418.94354
664,418.98596
665,419.02997
666,419.0744
667,419.11755
668,419.1586
669,419.1983
670,419.23813
671,419.27933
672,419.32166
673,419.36383
674,419.40527
675,419.44614
676,419.4873
677,419.52933
678,419.57166
679,419.61353
680,419.65433
681,419.69476
682,419.73596
683,419.778
684,419.82043
685,419.86203
686,419.90253
687,419.94278
688,419.98407
689,420.0268
690,420.06985
691,420.11188
692,420.15173
693,420.19025
694,420.2289
695,420.26892
696,420.30997
697,420.35098
698,420.3913
699,420.43097
700,420.471
701,420.5119
702,420.5532
703,420.59387
704,420.6337
705,420.6732
706,420.7134
707,420.7546
708,420.79608
709,420.83698
710,420.87665
711,420.91614
712,420.9568
713,420.9989
714,421.04144
715,421.0829
716,421.12238
717,421.16052
718,421.1989
719,421.23865
720,421.27948
721,421.3204
722,421.36057
723,421.40024
724,421.4404
725,421.48138
726,421.5228
727,421.56378
728,421.6039
729,421.6437
730,421.68423
731,421.7259
732,421.76788
733,421.80914
734,421.84952
735,421.88968
736,421.93094
737,421.97366
738,422.017
739,422.05917
740,422.0993
741,422.13824
742,422.17743
743,422.218
744,422.25967
745,422.30136
746,422.34235
747,422.38284
748,422.4238
749,422.4656
750,422.50787
751,422.54962
752,422.59042
753,422.63104
754,422.67236
755,422.7146
756,422.7573
757,422.79922
758,422.84015
759,422.88083
760,422.9226
761,422.9659
762,423.00958
763,423.05203
764,423.09268
765,423.13187
766,423.17133
767,423.2121
768,423.25388
769,423.2957
770,423.3368
771,423.37732
772,423.4182
773,423.45978
774,423.50186
775,423.54337
776,423.584
777,423.62427
778,423.66516
779,423.70706
780,423.74933
781,423.7907
782,423.83112
783,423.87122
784,423.91235
785,423.95493
786,423.99792
787,424.03973
788,424.07962
789,424.11807
790,424.15683
791,424.19666
792,424.23764
793,424.2786
794,424.31882
795,424.35843
796,424.3984
797,424.4392
798,424.48038
799,424.52106
800,424.56076
801,424.60013
802,424.6402
803,424.6812
804,424.72263
805,424.76328
806,424.8028
807,424.84213
808,424.88254
809,424.9244
810,424.96677
811,425.00793
812,425.04712
813,425.0849
814,425.12296
815,425.1622
816,425.20273
817,425.24332
818,425.28305
819,425.32227
820,425.36188
821,425.40237
822,425.4433
823,425.48373
824,425.5233
825,425.56247
826,425.60248
827,425.6435
828,425.68497
829,425.72565
830,425.76526
831,425.80463
832,425.8452
833,425.88736
834,425.93002
835,425.97153
836,426.01102
837,426.04904
838,426.0873
839,426.12704
840,426.168
841,426.20898
842,426.24924
843,426.2889
844,426.329
845,426.37012
846,426.4116
847,426.45264
848,426.49265
849,426.5324
850,426.5729
851,426.61456
852,426.65665
853,426.69797
854,426.73807
855,426.77798
856,426.81915
857,426.8619
858,426.9052
859,426.9472
860,426.98718
861,427.02567
862,427.06436
863,427.10446
864,427.14584
865,427.1873
866,427.22784
867,427.26782
868,427.30832
869,427.34964
870,427.39145
871,427.43268
872,427.47296
873,427.51282
874,427.55347
875,427.5953
876,427.63748
877,427.67877
878,427.7189
879,427.75882
880,427.8
881,427.84265
882,427.88593
883,427.9279
884,427.96756
885,428.00583
886,428.04422
887,428.0841
888,428.12515
889,428.16632
890,428.2065
891,428.2462
892,428.28622
893,428.3272
894,428.36865
895,428.4095
896,428.44925
897,428.48868
898,428.52887
899,428.57022
900,428.61194
901,428.65283
902,428.69244
903,428.73178
904,428.77234
905,428.8146
906,428.85742
907,428.89886
908,428.93805
909,428.9756
910,429.0134
911,429.05267
912,429.0933
913,429.13385
914,429.17352
915,429.21268
916,429.25208
917,429.29257
918,429.33353
919,429.37387
920,429.41312
921,429.45197
922,429.49164
923,429.53253
924,429.57385
925,429.61423
926,429.65335
927,429.69214
928,429.7323
929,429.77426
930,429.81677
931,429.85782
932,429.89655
933,429.93344
934,429.97064
935,430.00946
936,430.04965
937,430.08984
938,430.12915
939,430.16772
940,430.20676
941,430.2469
942,430.28748
943,430.32742
944,430.3662
945,430.4046
946,430.4438
947,430.48444
948,430.5254
949,430.5655
950,430.60406
951,430.64252
952,430.68222
953,430.72394
954,430.7662
955,430.80704
956,430.84515
957,430.88153
958,430.91818
959,430.9565
960,430.9963
961,431.03616
962,431.07498
963,431.11313
964,431.15164
965,431.1914
966,431.23166
967,431.27127
968,431.30963
969,431.34756
970,431.38635
971,431.42667
972,431.46735
973,431.5071
974,431.5453
975,431.58325
976,431.6227
977,431.66425
978,431.70642
979,431.74707
980,431.78476
981,431.82062
982,431.8567
983,431.89468
984,431.93423
985,431.97397
986,432.01242
987,432.05023
988,432.0886
989,432.12817
990,432.16843
991,432.20782
992,432.24597
993,432.28366
994,432.3223
995,432.3626
996,432.40338
997,432.44308
998,432.48123
999,432.51904
1000,432.55847
1001,432.60022
1002,432.6427
1003,432.68338
1004,432.7211
1005,432.75668
1006,432.79263
1007,432.83066
1008,432.87036
1009,432.9101
1010,432.94876
1011,432.98657
1012,433.025
1013,433.06473
1014,433.10513
1015,433.1448
1016,433.18304
1017,433.2208
1018,433.25952
1019,433.30005
1020,433.34116
1021,433.38107
1022,433.41925
1023,433.45703
1024,433.49664
1025,433.5387
1026,433.58157
1027,433.62256
1028,433.6602
1029,433.69565
1030,433.7314
1031,433.7694
1032,433.80923
1033,433.8491
1034,433.8877
1035,433.92548
1036,433.9637
1037,434.0035
1038,434.044
1039,434.08362
1040,434.12167
1041,434.15918
1042,434.1978
1043,434.23834
1044,434.27945
1045,434.3192
1046,434.35712
1047,434.39465
1048,434.43405
1049,434.47607
1050,434.51904
1051,434.5599
1052,434.59717
1053,434.63208
1054,434.6673
1055,434.70483
1056,434.74448
1057,434.78406
1058,434.82233
1059,434.8596
1060,434.89746
1061,434.93704
1062,434.97726
1063,435.01666
1064,435.05423
1065,435.09134
1066,435.12964
1067,435.16992
1068,435.2109
1069,435.25043
1070,435.288
1071,435.32513
1072,435.36435
1073,435.40637
1074,435.44934
1075,435.49017
1076,435.52716
1077,435.56152
1078,435.59644
1079,435.63376
1080,435.6733
1081,435.7129
1082,435.75104
1083,435.7882
1084,435.82608
1085,435.86566
1086,435.90613
1087,435.94562
1088,435.98325
1089,436.02032
1090,436.05878
1091,436.09943
1092,436.1407
1093,436.18063
1094,436.21838
1095,436.25574
1096,436.29535
1097,436.33795
1098,436.38165
1099,436.42297
1100,436.4603
1101,436.4949
1102,436.5299
1103,436.56763
