ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,monthly,monthly_lower,monthly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2026-04-06 11:38:37,400044410902659.5,400294155693377.5,402979347867706.9,400044410902659.5,400044410902659.5,1586057649413.8884,1586057649413.8884,1586057649413.8884,-12762030475.781078,-12762030475.781078,-12762030475.781078,1598819679889.6694,1598819679889.6694,1598819679889.6694,0.0,0.0,0.0,396126021838720.0
2026-04-06 12:38:37,400065474682819.2,400345309482869.94,402996602120677.4,400065474682819.2,400065474682819.2,1612486125027.9119,1612486125027.9119,1612486125027.9119,-4992197154.055459,-4992197154.055459,-4992197154.055459,1617478322181.9673,1617478322181.9673,1617478322181.9673,0.0,0.0,0.0,396173514094493.75
2026-04-06 13:38:37,400086538462978.94,400403280905259.0,403164469580420.75,400086538462978.94,400086538462978.94,1626702050655.0422,1626702050655.0422,1626702050655.0422,-9946960695.5437,-9946960695.5437,-9946960695.5437,1636649011350.586,1636649011350.586,1636649011350.586,0.0,0.0,0.0,396208793800280.6
2026-04-06 14:38:37,400107602243138.56,400452288134902.7,403110142734200.6,400107602243138.56,400107602243138.56,1632698811558.4192,1632698811558.4192,1632698811558.4192,-23633770456.458252,-23633770456.458252,-23633770456.458252,1656332582014.8772,1656332582014.8772,1656332582014.8772,0.0,0.0,0.0,396235854341343.6
2026-04-06 15:38:37,400128666023298.2,400490338814797.9,403140607666596.56,400128666023298.2,400128666023298.2,1645348676787.8977,1645348676787.8977,1645348676787.8977,-31178517723.017082,-31178517723.017082,-31178517723.017082,1676527194510.9146,1676527194510.9146,1676527194510.9146,0.0,0.0,0.0,396269567986732.7
2026-04-06 16:38:37,400149729803457.9,400455234915917.94,403298707620872.8,400149729803457.9,400149729803457.9,1673123583497.3542,1673123583497.3542,1673123583497.3542,-24104772072.711308,-24104772072.711308,-24104772072.711308,1697228355570.0657,1697228355570.0657,1697228355570.0657,0.0,0.0,0.0,396318406673601.9
2026-04-06 17:38:37,400170793583617.6,400509374488844.8,403335109547148.06,400170793583617.6,400170793583617.6,1708464145609.1018,1708464145609.1018,1708464145609.1018,-9964803340.470695,-9964803340.470695,-9964803340.470695,1718428948949.5725,1718428948949.5725,1718428948949.5725,0.0,0.0,0.0,396374811015873.4
2026-04-06 18:38:37,400191857363777.25,400509521367874.1,403236405057410.25,400191857363777.25,400191857363777.25,1735745349463.2622,1735745349463.2622,1735745349463.2622,-4373926375.512953,-4373926375.512953,-4373926375.512953,1740119275838.7751,1740119275838.7751,1740119275838.7751,0.0,0.0,0.0,396423155999887.1
2026-04-06 19:38:37,400212921143936.9,400671539722097.8,403320014839107.56,400212921143936.9,400212921143936.9,1748225759879.1245,1748225759879.1245,1748225759879.1245,-14061344959.347027,-14061344959.347027,-14061344959.347027,1762287104838.4717,1762287104838.4717,1762287104838.4717,0.0,0.0,0.0,396456700190462.6
2026-04-06 20:38:37,400233984924096.56,400594409165070.56,403418992145377.06,400233984924096.56,400233984924096.56,1755931718776.6248,1755931718776.6248,1755931718776.6248,-28986012508.77529,-28986012508.77529,-28986012508.77529,1784917731285.4001,1784917731285.4001,1784917731285.4001,0.0,0.0,0.0,396485469929519.8
2026-04-06 21:38:37,400255048704256.3,400667809817063.3,403374087439129.06,400255048704256.3,400255048704256.3,1775783495009.7266,1775783495009.7266,1775783495009.7266,-32210550656.58023,-32210550656.58023,-32210550656.58023,1807994045666.3071,1807994045666.3071,1807994045666.3071,0.0,0.0,0.0,396526385485912.7
2026-04-06 22:38:37,400276112484415.94,400745457154219.1,403394744945385.75,400276112484415.94,400276112484415.94,1813828276760.9634,1813828276760.9634,1813828276760.9634,-17668334047.355812,-17668334047.355812,-17668334047.355812,1831496610808.319,1831496610808.319,1831496610808.319,0.0,0.0,0.0,396585494047823.5
2026-04-06 23:38:37,400297176264575.56,400750106449568.56,403601732255810.94,400297176264575.56,400297176264575.56,1858106521810.6611,1858106521810.6611,1858106521810.6611,2702774324.113845,2702774324.113845,2702774324.113845,1855403747486.547,1855403747486.547,1855403747486.547,0.0,0.0,0.0,396650836073032.9
2026-04-07 00:38:37,400318240044735.25,400849039577643.4,403501102077428.06,400318240044735.25,400318240044735.25,1890270157451.6453,1890270157451.6453,1890270157451.6453,10578529313.838348,10578529313.838348,10578529313.838348,1879691628137.807,1879691628137.807,1879691628137.807,0.0,0.0,0.0,396704063488833.5
2026-04-07 01:38:37,400339303824894.9,400839632049580.56,403640490193001.3,400339303824894.9,400339303824894.9,1904835953569.4878,1904835953569.4878,1904835953569.4878,501575357.98813236,501575357.98813236,501575357.98813236,1904334378211.4998,1904334378211.4998,1904334378211.4998,0.0,0.0,0.0,396739693065111.0
2026-04-07 02:38:37,400360367605054.6,400903764970035.06,403636666105796.1,400360367605054.6,400360367605054.6,1916417575201.7246,1916417575201.7246,1916417575201.7246,-12886609602.325602,-12886609602.325602,-12886609602.325602,1929304184804.0503,1929304184804.0503,1929304184804.0503,0.0,0.0,0.0,396772338466903.0
2026-04-07 03:38:37,400381431385214.25,401063417406870.9,403777561347739.2,400381431385214.25,400381431385214.25,1946546453359.87,1946546453359.87,1946546453359.87,-8024958694.897874,-8024958694.897874,-8024958694.897874,1954571412054.7678,1954571412054.7678,1954571412054.7678,0.0,0.0,0.0,396823531125220.75
2026-04-07 04:38:37,400402495165373.94,401104150007994.56,403765090893351.06,400402495165373.94,400402495165373.94,2002007914653.1218,2002007914653.1218,2002007914653.1218,21903191762.435352,21903191762.435352,21903191762.435352,1980104722890.6868,1980104722890.6868,1980104722890.6868,0.0,0.0,0.0,396900056366673.7
2026-04-07 05:38:37,400423558945533.56,401046934891363.5,403897041712874.56,400423558945533.56,400423558945533.56,2065800397958.046,2065800397958.046,2065800397958.046,59929191397.758484,59929191397.758484,59929191397.758484,2005871206560.2876,2005871206560.2876,2005871206560.2876,0.0,0.0,0.0,396984912630138.25
